,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,26,41,A-10,126,102,102,175,0,0,175,46,80,53,931,80,130,Jared Kimbrough,250,La Salle,29,55,206,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,204,3,Sun Belt,113,79,71,185,8,26,211,84,119,60,1473,27,87,Ifeanyi Koggu,250,Arkansas State,48,80,140,2009,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,98,Big 12,149,101,91,150,10,30,180,38,72,97,1032,90,159,Mitch Lightfoot,250,Kansas,18,54,239,2019,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43,1,OVC,44,82,73,157,9,30,187,77,102,31,637,7,67,Robert Murry,250,Morehead State,24,63,51,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,67,0,MEAC,55,82,52,104,30,82,186,56,61,58,777,16,67,Glenn Nelson,250,North Carolina A&T,31,88,71,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,99,0,Total,63,91,65,177,26,77,254,42,57,60,928,12,103,JaQuel Richmond,250,Total,23,74,75,2018,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43,8,OVC,72,80,42,112,38,106,218,52,67,30,867,18,71,D'Mitri Riggs,250,Eastern Kentucky,41,28,90,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,42,23,MEAC,92,90,90,177,0,1,178,70,117,32,864,48,86,Greg Roberts,250,North Carolina A&T,46,62,140,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,48,44,AEC,141,104,104,200,0,0,200,42,95,116,1321,54,192,Jamie Schneck,250,Hartford,21,76,195,2015,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,63,29,WCC,165,93,88,151,5,17,168,59,90,115,1379,128,179,Josh Sharp,250,Brigham Young,30,45,293,2015,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18,38,Mid-Cont,90,88,88,193,0,1,194,74,96,30,841,76,110,Angelo Smith,250,IUPUI,12,40,166,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,27,28,Pac-12,102,90,80,170,10,22,192,60,92,117,1156,94,219,Grant Verhoeven,250,Stanford,31,39,196,2017,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,53,5,MAC,115,89,76,155,13,63,218,59,80,36,798,49,104,Kawanise Wilkins,250,Western Michigan,20,66,164,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23,6,Horizon,97,100,100,198,0,5,203,50,91,33,734,53,86,Jarvis Williams,250,Green Bay,24,77,150,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,55,21,A-10,115,77,65,133,12,55,188,84,116,54,856,52,111,Vince Williams,250,Virginia Commonwealth,55,75,167,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,125,13,Big East,95,91,72,174,19,77,251,48,86,63,956,5,102,Makai Ashton-Langford,249,Providence,40,97,100,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,3,Big South,68,78,17,43,61,159,202,32,44,34,752,15,73,Ryan Badowski,249,Longwood,22,26,83,2015,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,68,1,MWC,66,90,45,93,45,152,245,24,41,80,1197,19,83,Arthur Bouedo,249,Wyoming,26,65,85,2012,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,53,2,MVC,51,88,48,111,40,106,217,33,38,31,707,13,62,Karon Bradley,249,Wichita State,19,32,64,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,57,58,WAC,110,105,105,178,0,0,178,39,84,83,1108,116,168,Paul Campbell,249,Hawaii,21,54,226,2010,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,47,1,MVC,32,78,41,89,37,81,170,56,81,24,758,8,50,Keith Clemons,249,Loyola (IL),29,32,40,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,68,30,Big Ten,158,92,86,178,6,39,217,59,87,49,961,65,99,Eric Curry,249,Minnesota,24,52,223,2019,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24,83,Total,121,103,99,181,4,11,192,39,71,68,937,94,142,Corey Douglas,249,Total,26,50,215,2020,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,45,4,AAC,88,76,40,119,36,111,230,61,89,31,759,13,71,Boogie Ellis,249,Memphis,39,45,101,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,39,75,AEC,238,110,110,207,0,1,208,29,48,121,1787,100,272,Brett Gifford,249,Albany (NY),39,109,338,2010,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,90,0,Total,52,79,58,101,21,54,155,70,93,79,945,9,87,Janeil Jenkins,249,Total,34,80,61,2016,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,34,2,SWAC,62,80,40,106,40,147,253,49,81,29,655,23,61,Ibrahim Kpaka,249,Grambling,24,54,85,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,54,20,Total,170,78,15,35,63,156,191,30,54,79,1361,53,104,Jax Levitch,249,Total,44,32,223,2020,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15,58,Sun Belt,116,104,104,188,0,1,189,41,72,29,692,62,49,Eric McKinney,249,Arkansas State,21,28,178,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,61,5,Southland,60,90,74,169,16,46,215,53,83,28,687,27,57,Mike Pouncy,249,Central Arkansas,39,52,87,2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,55,4,NEC,117,85,42,94,43,121,215,36,50,30,871,22,49,Jamir Reed,249,Central Connecticut State,22,61,139,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,16,48,Horizon,150,114,114,236,0,0,236,21,34,61,828,61,118,K.C. Robbins,249,Illinois-Chicago,8,75,211,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,44,1,Big South,66,82,30,80,52,133,213,33,49,65,753,18,85,Casey Roberts,249,Liberty,19,25,84,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,51,8,Summit,70,90,74,178,16,71,249,53,77,61,801,15,53,Aidan Saunders,249,Oral Roberts,27,53,85,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,32,21,A-10,90,92,48,77,44,113,190,21,30,25,702,19,66,Monty Scott,249,Dayton,4,40,109,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,28,Sun Belt,132,101,92,164,9,27,191,38,73,31,798,71,75,Isiah Small,249,Texas State,32,42,203,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,174,1,MVC,73,80,78,146,2,10,156,87,118,32,937,57,62,Al Stewart,249,Drake,40,89,130,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,64,Big East,91,95,94,170,1,6,176,58,114,46,778,83,116,Rashaun Stimage,249,DePaul,18,38,174,2016,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
