,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,8,2,Ivy,32,35,15,29,20,70,99,12,14,14,281,12,31,Jordan Jones,102,Cornell,9,10,44,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,3,Sun Belt,33,33,26,56,7,21,77,29,39,8,241,11,28,Kobe Julien,102,Louisiana,15,23,44,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,9,A-10,38,37,31,49,6,22,71,22,38,56,383,22,81,Souleymane Koureissi,102,Richmond,12,24,60,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,19,AEC,71,39,29,70,10,48,118,14,22,44,439,26,53,Jake Lindfors,102,Albany (NY),9,30,97,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,3,Big Sky,37,36,14,35,22,92,127,8,9,69,597,7,32,Nick Mason,102,Idaho State,12,17,44,2013,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,19,Patriot,52,36,36,67,0,3,70,30,55,54,567,37,112,Peter Minchella,102,Colgate,15,39,89,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,6,Patriot,42,43,43,68,0,0,68,16,24,57,454,25,75,Christopher Morgan,102,Holy Cross,6,21,67,2015,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,18,MEAC,52,38,38,69,0,1,70,26,46,26,301,29,40,Ralueke Orizu,102,Savannah State,8,22,81,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26,2,Summit,27,39,27,50,12,37,87,12,23,35,327,8,30,Bentiu Panoam,102,North Dakota,11,20,35,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,35,2,AAC,17,39,22,46,17,45,91,7,15,27,344,6,34,Josh Pierre-Louis,102,Temple,15,31,23,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,10,Total,76,44,44,90,0,1,91,14,45,44,478,35,76,Damien Sears,102,Total,29,28,111,2020,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,12,Big West,54,43,43,100,0,3,103,16,32,51,434,43,54,Peter Simek,102,UC-Irvine,5,22,97,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,44,WAC,32,43,43,70,0,0,70,16,25,50,275,21,50,Shawn Taylor,102,Fresno State,6,25,95,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,102,4,A-Sun,58,37,37,97,0,5,102,28,40,34,678,8,46,Tayloe Taylor,102,East Tennessee State,32,81,66,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,13,A-10,42,34,23,55,11,44,99,23,36,54,445,28,73,David Theis,102,Duquesne,14,36,70,2011,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2,1,OVC,15,36,19,41,17,53,94,13,20,18,185,5,24,Tracy Thomas,102,Jacksonville State,8,13,20,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,13,14,CAA,63,45,45,88,0,2,90,12,26,32,499,55,65,Charles Thompson,102,Towson,14,18,118,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9,9,MVC,84,42,42,74,0,0,74,18,37,41,457,45,74,Alex White,102,Drake,19,30,129,2009,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27,11,Big West,27,34,15,42,19,82,124,15,27,31,435,8,42,Collin Woods,102,UC-Irvine,11,21,35,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9,11,OVC,61,41,41,82,0,1,83,20,50,52,535,43,86,Maros Zeliznak,102,Jacksonville State,7,34,104,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,9,SWAC,42,42,41,70,1,1,71,16,35,28,307,33,67,D'Arian Allen,101,Southern,6,24,75,2016,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,30,4,MAC,39,33,8,20,25,91,111,10,19,34,529,24,56,Rocco Belcaster,101,Ball State,11,34,63,2016,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,79,4,Pac-12,43,34,27,80,7,25,105,26,49,74,666,9,102,Chass Bryan,101,Southern California,28,48,52,2015,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,157,0,MEAC,89,23,17,59,6,23,82,49,73,63,1014,32,105,Charles Burley,101,Delaware State,37,108,121,2015,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,50,0,A-Sun,19,36,21,54,15,45,99,14,18,55,502,10,47,Brian Coffey II,101,North Florida,14,55,29,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,79,4,AEC,84,32,29,86,3,29,115,34,46,30,563,14,38,Bryce Daley,101,Massachusetts-Lowell,18,44,98,2019,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,19,8,Total,56,39,29,64,10,39,103,13,24,68,450,24,79,Trey Eckloff,101,Colorado,8,36,80,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,12,3,MEAC,41,33,7,18,26,93,111,9,12,44,284,8,22,Antonin Galaya,101,North Carolina Central,10,15,49,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,23,Total,57,46,46,97,0,0,97,9,27,41,402,46,69,Ronnie Gombe,101,Total,17,30,103,2018,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,40,37,CAA,131,27,27,68,0,0,68,47,79,113,871,88,202,Barnett Harris,101,Delaware,28,42,219,2017,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,0,Ivy,16,34,6,20,28,63,83,5,9,28,202,8,23,Eli Harrison,101,Dartmouth,7,10,24,2016,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,27,10,Southland,45,37,33,51,4,11,62,23,35,47,386,24,33,Tyren Harrison,101,New Orleans,11,29,69,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,51,2,Big East,29,36,34,76,2,8,84,27,39,16,397,12,28,Daryll Hill,101,St. John's (NY),24,42,41,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2,5,Summit,48,37,36,90,1,8,98,26,44,30,340,30,44,Darrius Hughes,101,Omaha,10,24,78,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9,0,MEAC,22,35,31,65,4,17,82,27,36,60,319,16,32,Tremaine Johnson,101,Delaware State,6,29,38,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,42,2,ACC,23,31,20,59,11,37,96,28,43,59,531,3,61,Teven Jones,101,Virginia,18,28,26,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12,12,Sun Belt,37,36,36,55,0,0,55,29,47,33,305,27,66,Hosana Kitenge,101,Coastal Carolina,8,26,64,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,2,Patriot,55,38,37,87,1,2,89,24,37,58,327,15,51,Colin Klebon,101,Bucknell,6,20,70,2013,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,8,2,WAC,23,32,10,23,22,63,86,15,22,32,328,17,33,Alex Majewski,101,Texas-Rio Grande Valley,5,18,40,2014,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,14,45,MVC,77,45,45,87,0,0,87,11,24,44,442,35,58,Dex Manswell,101,Missouri State,25,32,112,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,36,7,NEC,72,39,29,76,10,42,118,13,18,29,506,22,67,Dale Meinbresse,101,Quinnipiac,15,39,94,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,56,0,Big South,66,28,24,83,4,23,106,41,55,58,606,14,88,Chene Phillips,101,Liberty,26,56,80,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,8,2,AEC,40,36,8,21,28,93,114,1,7,48,337,14,22,John Schurman,101,Binghamton,6,7,54,2018,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,48,2,Southland,35,29,23,54,6,24,78,37,62,29,448,5,44,Bryant Smith,101,Texas-Arlington,24,38,40,2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8,1,CUSA,16,35,18,40,17,53,93,14,21,12,235,6,20,Josh Stamps,101,Florida International,7,11,22,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,10,AEC,3,38,34,71,4,12,83,21,35,29,34,1,4,Fabrice Tafo,101,Hartford,6,2,49,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,6,Total,43,42,42,78,0,0,78,17,37,44,246,36,62,Gilbert Talbot,101,Louisiana Tech,1,18,79,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,17,28,Summit,62,33,25,81,8,34,115,27,45,56,565,41,81,Racine Talla,101,Purdue-Fort Wayne,10,44,103,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
