,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
48,5,17,NEC,53,45,45,85,0,0,85,11,18,27,325,24,38,De'Aires Tate,101,Sacred Heart,11,27,77,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,17,2,MAAC,51,34,13,45,21,57,102,12,15,53,504,23,55,Mike Taylor,101,Marist,14,23,74,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,13,34,Big 12,69,34,34,66,0,0,66,33,60,52,503,45,90,Flo Thamba,101,Baylor,7,31,114,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,6,4,Southland,42,34,27,54,7,26,80,26,37,30,317,23,18,Terryonte Thomas,101,Sam Houston State,7,17,65,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,14,20,Total,63,43,43,79,0,1,80,15,24,38,448,31,64,Zo Tyson,101,Total,8,24,94,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,6,3,Patriot,35,39,32,65,7,39,104,16,20,32,342,20,41,Blake Verbeek,101,Holy Cross,6,24,55,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,42,1,SWAC,51,34,13,31,21,80,111,12,24,31,439,8,45,Jeff Wherry,101,Prairie View,18,34,59,2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,7,1,NEC,18,38,26,58,12,47,105,13,15,45,336,9,22,Chris Williams,101,Central Connecticut State,8,16,27,2019,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,52,2,MWC,70,38,32,75,6,16,91,19,36,85,717,18,72,D'Erryl Williams,101,San Diego State,30,39,88,2017,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,12,4,A-Sun,19,33,16,29,17,63,92,18,26,28,325,7,46,Levar Williams,101,NJIT,7,25,26,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,43,4,WAC,42,39,34,63,5,10,73,18,33,29,546,22,60,Zion Williams,101,Missouri-Kansas City,22,38,64,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9,5,Summit,52,43,43,69,0,2,71,15,26,32,296,20,43,Tyler Witz,101,North Dakota State,7,16,72,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,28,18,Total,82,35,35,83,0,0,83,30,70,109,824,57,120,Kwesi Abakah,100,Total,8,33,139,2017,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,19,Total,41,40,40,82,0,0,82,20,50,26,222,18,31,Desmond Adedeji,100,Total,6,22,59,2010,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,16,2,SWAC,38,38,37,74,1,1,75,23,44,51,588,36,84,LaCurtis Allen,100,Mississippi Valley State,19,25,74,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6,2,WAC,19,36,36,100,0,0,100,28,70,49,200,18,26,Luis Augusto,100,Idaho,18,60,103,2009,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,8,8,WCC,36,38,24,45,14,42,87,10,23,30,394,14,34,Andre Ball,100,Pepperdine,3,13,50,2019,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,61,0,Total,27,36,20,50,16,58,108,12,18,43,562,12,52,Jimmy Barton,100,Total,17,48,39,2016,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8,75,Total,76,39,39,86,0,0,86,22,54,56,324,44,113,Jason Bennett,100,Total,5,33,120,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,16,6,Sun Belt,67,31,29,95,2,11,106,36,50,63,513,34,44,Stetson Billings,100,Little Rock,10,29,101,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,26,5,AEC,64,35,31,62,4,21,83,26,52,44,419,21,72,Stefan Borovac,100,Massachusetts-Lowell,11,42,85,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,15,16,MWC,54,40,40,78,0,1,79,20,32,33,332,16,35,Jordan Brown,100,Nevada,10,24,70,2019,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20,18,Horizon,46,37,34,68,3,17,85,23,34,103,696,35,117,Josh Chojnacki,100,Youngstown State,11,33,81,2014,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18,2,OVC,32,36,30,63,6,19,82,22,26,24,313,18,50,Teraes Clemmons,100,Jacksonville State,9,17,50,2014,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6,16,Patriot,59,40,40,73,0,0,73,20,35,27,460,45,65,Marc Daniels,100,Colgate,11,38,104,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,7,5,Southland,35,32,31,81,1,2,83,35,55,33,287,10,58,Bryce Davis,100,Incarnate Word,11,30,45,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,10,19,Total,66,42,42,104,0,0,104,16,38,57,514,42,95,Ibrahima Diallo,100,Total,13,33,108,2019,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,21,1,Big Sky,41,32,16,45,16,53,98,20,25,35,301,8,13,Grant Dressler,100,Sacramento State,9,18,49,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,11,4,SEC,59,39,34,64,5,35,99,17,37,31,429,24,52,Allen Flanigan,100,Auburn,8,25,83,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,25,1,OVC,30,34,18,39,16,66,105,16,31,43,492,13,49,Jordan Gaither,100,Tennessee State,11,28,43,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,18,10,Ind,55,39,39,104,0,1,105,22,37,44,640,46,110,Gavin Gilmore,100,Seattle,13,51,101,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,26,2,Sun Belt,44,33,12,29,21,59,88,13,17,34,379,7,33,Tyler Hall,100,North Texas,13,32,51,2012,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,11,5,Horizon,35,33,19,49,14,34,83,20,35,42,499,26,77,Gavin Horne,100,Wright State,14,22,61,2009,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,17,15,WCC,60,36,36,55,0,0,55,28,42,34,284,31,37,Jacob Larsen,100,Gonzaga,4,26,91,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,40,4,MEAC,37,37,20,43,17,61,104,9,17,31,429,9,42,Kwei Lartey,100,North Carolina A&T,12,33,46,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,26,6,WAC,60,35,26,72,9,32,104,21,32,32,414,33,57,Gage Loy,100,Texas-Rio Grande Valley,15,27,93,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20,4,Big Sky,37,38,27,52,11,35,87,13,20,21,298,30,31,Stuart Mayes,100,Montana,10,14,67,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,55,0,Big Ten,48,34,13,34,21,52,86,11,15,59,719,10,68,David Merritt,100,Michigan,19,36,58,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,18,Pac-10,62,43,43,71,0,0,71,14,19,32,392,27,54,Abdoulaye N'Diaye,100,Southern California,3,30,89,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,48,4,NEC,43,37,26,71,11,29,100,15,24,31,650,13,66,Zach Newkirk,100,Central Connecticut State,11,43,56,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2,17,A-10,59,33,33,67,0,0,67,34,63,38,420,49,99,Ifeanyi Onyekaba,100,Rhode Island,8,27,108,2015,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,19,1,ACC,24,35,21,36,14,60,96,16,18,53,360,13,39,Martynas Pocius,100,Duke,11,31,37,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,22,5,WAC,43,38,33,69,5,14,83,19,37,33,427,21,28,Darius Redding,100,Louisiana Tech,20,27,64,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,24,9,SWAC,40,37,31,70,6,43,113,20,42,53,387,21,47,Kenny Russell,100,Jackson State,20,36,61,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,8,0,Big West,56,41,40,99,1,3,102,17,24,29,367,37,31,J.D. Slajchert,100,UC-Santa Barbara,4,22,93,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,27,12,Big Ten,34,37,35,81,2,9,90,24,33,26,344,23,36,Brandon Smith,100,Minnesota,12,21,57,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,21,15,MAC,74,39,28,65,11,54,119,11,23,32,609,23,86,Monty St. Clair,100,Miami (OH),12,20,97,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6,19,Total,73,44,44,93,0,0,93,12,27,83,670,39,129,Roderick Taylor,100,Total,14,36,112,2019,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,8,27,Sun Belt,61,39,39,77,0,0,77,22,29,31,568,32,79,Tim Tillman,100,New Orleans,7,26,93,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,53,0,Horizon,29,36,31,81,5,15,96,23,47,25,432,10,42,Greg Travis,100,Illinois-Chicago,19,44,39,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,20,13,Southern,81,38,38,94,0,0,94,24,52,82,982,58,147,Kenith Ward,100,Georgia Southern,21,36,139,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,14,16,Big South,41,38,37,86,1,1,87,23,35,66,389,36,74,Wayne Whiting,100,Virginia Military Institute,8,15,77,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3,12,MAAC,70,36,36,84,0,3,87,27,51,41,546,55,91,Menghe a'Nyam,99,Canisius,18,40,125,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,18,3,MAC,46,34,25,41,9,42,83,22,27,25,329,21,24,Kani Acree,99,Ball State,11,20,67,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,40,1,Total,27,42,36,65,6,20,85,9,19,58,503,3,31,Malcolm Allen,99,Total,16,37,30,2018,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,14,4,SWAC,55,39,37,75,2,17,92,19,40,66,445,33,47,Valerio Altheimer,99,Grambling,15,21,88,2016,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,8,3,SWAC,16,33,4,11,29,109,120,4,9,47,368,4,36,Zachary Barnes,99,Mississippi Valley State,14,14,20,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,22,3,Total,38,35,19,36,16,59,95,13,20,35,326,4,40,Drew Bender,99,Total,12,25,42,2015,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,35,10,Sun Belt,56,34,21,65,13,36,101,18,23,48,582,19,74,Stetson Billings,99,Little Rock,17,22,75,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5,1,CUSA,40,35,25,53,10,30,83,19,27,35,254,24,33,Phil Bledsoe,99,Marshall,4,8,64,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,9,17,Big Ten,55,36,36,65,0,7,72,27,38,44,264,26,33,Colin Castleton,99,Michigan,4,18,81,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,7,13,WAC,40,37,37,59,0,1,60,25,36,52,368,27,86,Marko Cukic,99,Nevada,7,16,67,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,22,1,Pac-12,33,34,8,21,26,68,89,5,12,31,409,6,30,Maddox Daniels,99,Colorado,6,26,39,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,31,101,OVC,141,39,39,94,0,0,94,21,40,98,915,91,129,Aboubacar Diallo,99,Eastern Illinois,28,33,232,2019,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,82,1,OVC,63,31,20,48,11,45,93,26,45,60,699,12,75,Terrence Durham,99,Tennessee-Martin,25,48,75,2016,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,7,2,Southland,10,30,6,10,24,64,74,15,20,27,164,1,17,Parker Edwards,99,Southeastern Louisiana,6,6,11,2019,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,48,2,OVC,49,34,31,74,3,21,95,28,47,59,512,7,61,C.J. Ford,99,Murray State,17,32,56,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,26,6,Total,61,43,36,64,7,29,93,6,15,30,394,31,47,Harry Froling,99,Total,7,30,92,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,28,3,Big South,24,31,8,20,23,73,93,14,20,28,327,12,28,Terrence Greir,99,Charleston Southern,14,18,36,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,14,8,Sun Belt,71,44,44,59,0,1,60,11,31,30,453,55,48,Valentino Hart,99,Louisiana,9,17,126,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,21,7,Sun Belt,52,33,33,66,0,0,66,33,54,32,445,39,50,Antwon Jackson,99,Arkansas State,18,23,91,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,34,3,MAAC,39,39,37,112,2,8,120,19,45,53,601,44,43,Devin Johnson,99,Fairfield,28,48,83,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,17,2,Big West,14,31,20,58,11,50,108,26,36,29,388,9,42,Donovan Johnson,99,Cal State Northridge,20,26,23,2013,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,18,23,Southland,49,41,41,83,0,12,95,17,50,49,485,36,94,Travis Julien,99,Nicholls State,14,36,85,2015,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,8,10,Big Sky,31,38,37,102,1,4,106,22,39,57,461,23,74,Brendan Keane,99,Northern Colorado,4,25,54,2014,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,31,3,Southland,31,35,22,44,13,47,91,16,30,29,456,15,60,Isiah Kirby,99,Southeastern Louisiana,23,42,46,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,34,3,AAC,40,35,16,45,19,77,122,10,16,32,561,11,43,Elijah Landrum,99,Southern Methodist,25,17,51,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,11,1,AEC,21,36,21,55,15,45,100,12,20,39,327,4,36,Kijana Love,99,New Hampshire,10,24,25,2019,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,27,4,Big West,79,38,38,67,0,1,68,23,60,60,569,42,65,John Manley,99,Cal Poly,7,27,121,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,7,18,Ind,41,42,42,80,0,0,80,15,26,29,405,36,84,Dijon Manns,99,North Carolina Central,6,42,77,2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,64,28,Sun Belt,62,43,35,64,8,27,91,5,11,30,768,28,86,Xander McNally,99,Denver,66,65,90,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,3,Big West,29,37,37,90,0,2,92,25,47,24,255,16,17,Kevin Menner,99,Cal State Northridge,5,23,45,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,13,3,Big 12,49,33,22,45,11,36,81,22,35,19,470,22,39,Montavious Murphy,99,Kansas State,11,21,71,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,27,30,Patriot,128,46,46,86,0,0,86,7,21,115,930,44,121,Nathaniel Musters,99,Lafayette,24,43,172,2016,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,13,15,Big West,48,41,41,66,0,0,66,17,22,29,426,24,81,Festus Ndumanya,99,Cal State Northridge,2,23,72,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,10,6,AEC,14,36,30,66,6,25,91,21,34,23,251,23,35,Albert Odero,99,Binghamton,7,19,37,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,19,6,SWAC,41,38,27,70,11,52,122,12,24,41,415,15,44,Chidozie Omile,99,Alabama State,11,27,56,2016,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,33,10,Sun Belt,41,32,19,41,13,48,89,22,28,22,475,10,43,Langston Powell,99,Louisiana-Monroe,12,29,51,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,54,12,Total,44,34,32,66,2,18,84,29,53,54,601,20,44,Shannon Sharpe,99,Colorado,12,37,64,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,27,1,SEC,38,34,11,31,23,79,110,8,12,50,476,13,62,Brian Steele,99,South Carolina,15,18,51,2015,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
