,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,7,15,Sun Belt,38,16,16,34,0,0,34,6,17,58,252,17,42,Chris Clerkley,38,Georgia State,3,14,55,2020,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,AEC,12,15,15,19,0,0,19,8,17,31,109,7,32,Nikola Colovic,38,Hartford,1,7,19,2020,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,0,MEAC,7,14,14,21,0,2,23,10,12,31,127,3,16,Kevin Crawford,38,North Carolina Central,11,13,10,2016,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,5,Big West,19,15,15,35,0,0,35,8,10,25,140,16,27,Xavier Crawford,38,Cal State Northridge,5,12,35,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,0,Sun Belt,11,12,6,14,6,22,36,8,9,15,163,0,14,DeShawn Davidson,38,Texas State,3,6,11,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,0,Pac-10,12,11,6,14,5,16,30,11,18,18,150,4,10,Brandon Dunson,38,Arizona State,4,12,16,2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15,0,Horizon,14,14,5,20,9,37,57,1,4,21,241,4,27,Grant Evans,38,Wright State,7,15,18,2015,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,7,Southern,18,17,15,25,2,5,30,2,3,28,112,4,9,Tragen Fahl,38,Virginia Military Institute,3,6,22,2020,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,10,CAA,35,13,13,42,0,0,42,12,26,86,399,28,46,Jamel Flash,38,Towson,4,15,63,2015,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,1,NEC,14,11,6,16,5,19,35,11,16,24,135,5,18,Khalif Foster,38,Robert Morris,4,15,19,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,26,2,Sun Belt,33,17,13,34,4,14,48,0,4,23,373,5,40,Harley Fuller,38,Florida International,7,35,38,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,0,MAAC,20,12,9,17,3,27,44,11,14,20,203,4,24,James Griffin,38,Marist,5,29,24,2016,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,3,WCC,13,13,8,18,5,10,28,7,10,35,202,7,23,Ryan Harbour,38,San Diego,4,14,20,2011,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9,1,Ivy,17,15,9,18,6,19,37,2,4,14,154,4,19,Jean Herbert-Harris,38,Brown,7,15,21,2010,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9,3,Big South,22,13,4,6,9,33,39,3,6,56,137,9,4,Mitch Hill,38,Winthrop,5,7,31,2018,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,11,A-Sun,21,13,7,23,6,18,41,6,14,25,163,8,14,Jacob Hobbs,38,Lipscomb,3,6,29,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,7,SEC,15,15,15,29,0,0,29,8,17,21,131,13,22,Jason Jitoboh,38,Florida,0,5,28,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2,0,AEC,17,13,9,13,4,16,29,8,12,15,121,9,5,Nathan Johnson,38,Maryland-Baltimore County,0,5,26,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,7,Big Sky,14,15,15,24,0,0,24,8,15,31,110,12,30,Frederik Jorg,38,Eastern Washington,0,5,26,2015,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,1,Total,6,14,5,9,9,29,38,1,1,34,168,2,9,Spencer Llewellyn,38,Pacific,1,9,8,2014,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,0,Southland,13,13,1,3,12,25,28,0,0,18,162,3,7,Justin Lobell,38,Southeastern Louisiana,4,5,16,2016,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,4,OVC,16,13,4,10,9,24,34,3,7,19,225,9,19,Gary Love,38,Tennessee-Martin,5,11,25,2012,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9,2,Total,26,15,13,17,2,7,24,6,11,63,194,9,19,Ali Mackay,38,Davidson,4,5,35,2015,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,0,Horizon,8,12,4,19,8,23,42,6,9,27,184,5,17,Jamar Madge,38,Milwaukee,1,4,13,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9,2,NEC,33,13,13,35,0,0,35,12,22,22,286,22,47,Roberto Mantovani,38,Robert Morris,4,17,55,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,4,MAAC,9,14,14,22,0,5,27,10,15,32,108,6,21,Geoff Middleton,38,Fairfield,2,5,15,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,0,Big West,11,12,5,11,7,25,36,7,11,16,183,5,17,Josh Mishler,38,Cal Poly,4,6,16,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,2,SEC,17,17,17,38,0,6,44,4,11,14,142,8,25,Brandon Mitchell,38,Arkansas,2,6,25,2012,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
