,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,1,0,Patriot,2,1,1,3,0,4,7,0,0,13,12,2,1,Jared Accettura,2,Colgate,1,2,4,2013,2012
1,0,0,MVC,3,1,1,2,0,0,2,0,4,8,10,0,2,Kobby Acquah,2,Southern Illinois,0,1,3,2007,2007
2,0,0,SWAC,1,1,1,1,0,3,4,0,0,7,24,1,2,Antonio Adams,2,Alabama A&M,1,5,2,2010,2010
3,1,0,Big Ten,1,1,1,3,0,0,3,0,0,6,11,1,1,Drew Adams,2,Iowa,0,1,2,2007,2007
4,1,2,A-10,5,0,0,2,0,0,2,2,4,15,31,1,4,Temi Adebayo,2,Saint Joseph's,0,2,6,2010,2009
5,1,0,AEC,1,1,1,1,0,3,4,0,0,5,13,0,0,Deng Adiang,2,Vermont,1,0,1,2020,2020
6,0,0,OVC,0,0,0,0,0,0,0,2,2,1,5,0,1,Latiq Agard,2,Jacksonville State,0,1,0,2011,2011
7,1,0,ACC,1,0,0,2,0,0,2,2,2,6,6,1,0,Curtis Aiken Jr,2,Pittsburgh,1,0,2,2020,2020
8,1,0,AAC,1,1,1,5,0,2,7,0,0,22,33,1,8,Temi Aiyegbusi,2,Connecticut,0,2,2,2020,2018
9,0,0,A-Sun,1,0,0,3,0,0,3,2,4,4,6,2,1,Junior Ajayi,2,Kennesaw State,0,4,3,2010,2010
10,2,5,SEC,3,1,1,3,0,1,4,0,0,13,32,1,7,Babatunde Akingbola,2,Auburn,0,3,4,2020,2020
11,2,1,Big East,0,1,1,3,0,5,8,0,1,15,40,3,6,Brendan Allen,2,Connecticut,0,3,3,2013,2012
12,0,0,Horizon,1,1,1,1,0,1,2,0,0,4,8,0,0,Daniel Alston,2,IUPUI,0,2,1,2019,2019
13,0,0,SWAC,1,1,1,2,0,6,8,0,2,10,30,1,1,Edrick Alsworth,2,Alcorn State,1,1,2,2020,2020
14,0,0,ACC,1,1,1,1,0,3,4,0,0,7,12,0,1,Tom Amalfe,2,Virginia Tech,0,0,1,2008,2008
15,1,0,A-10,1,1,1,2,0,0,2,0,0,6,11,0,2,Nana Ampim,2,Massachusetts,0,2,1,2008,2007
16,0,1,ACC,4,0,0,3,0,1,4,2,2,8,9,0,1,Britton Anderson,2,Wake Forest,0,0,4,2018,2016
17,1,0,MAAC,4,0,0,5,0,12,17,2,3,20,45,2,7,DeCarlos Anderson,2,Manhattan,3,7,6,2012,2012
