,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,30,100,Big East,176,106,106,211,0,1,212,88,144,109,1189,109,176,Maurice Sutton,300,Villanova,28,81,285,2013,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,12,OVC,113,115,85,169,30,77,246,40,53,29,812,46,82,Shawn Witherspoon,300,Murray State,35,62,159,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,74,7,NEC,73,96,80,184,16,33,217,91,111,37,831,28,71,Evann Baker,299,Quinnipiac,25,68,101,2010,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,38,38,AAC,143,108,51,131,57,206,337,26,47,55,1065,35,105,K.J. Davis,299,East Carolina,35,46,178,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,108,SEC,151,115,115,220,0,0,220,69,104,62,1123,135,167,Asauhn Dixon-Tatum,299,Auburn,21,64,286,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,48,2,Big West,56,92,13,23,79,216,239,36,44,57,1070,12,64,Markus Duran,299,Pacific,18,38,68,2013,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34,24,SWAC,134,119,119,271,0,7,278,61,103,75,1175,97,156,Adrian Edwards,299,Alabama A&M,22,64,231,2017,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,28,3,MAC,114,96,36,79,60,194,273,47,70,59,898,16,52,Jaryd Eustace,299,Miami (OH),25,51,130,2015,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,23,17,SWAC,133,119,98,153,21,65,218,40,67,47,692,63,92,AJ Farrar,299,Alabama State,21,32,196,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,140,4,Southland,70,103,37,86,66,183,269,27,32,58,1456,15,118,Kenny Franklin,299,Nicholls State,59,78,85,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,223,4,Horizon,148,110,78,176,32,111,287,47,88,67,1612,14,151,August Haas,299,Milwaukee,48,125,162,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,62,12,Total,90,110,78,161,32,92,253,47,67,66,969,46,77,Rodney Jones,299,Total,31,63,136,2011,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,32,13,Total,140,109,109,243,0,2,245,81,185,82,1216,93,199,Ray Lester,299,Total,36,103,233,2014,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,15,Big South,71,123,121,237,2,9,246,51,83,54,744,61,62,Brandon Martin,299,South Carolina Upstate,21,56,132,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,37,22,NEC,125,96,46,96,50,171,267,57,80,115,1301,76,119,Arnold Mayorga,299,Long Island University,25,51,201,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,139,1,Big 12,70,98,40,111,58,197,308,45,60,66,1067,17,81,Jordan McCabe,299,West Virginia,48,92,87,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
