,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,2,1,WAC,7,8,3,6,5,17,23,4,6,26,85,3,7,Gentry Hunt,25,Chicago State,2,6,10,2017,2016
1,0,1,NEC,6,10,10,17,0,0,17,5,11,13,52,10,11,Precious Ikediashi,25,Saint Francis (PA),2,4,16,2020,2019
2,4,1,Summit,16,8,8,19,0,1,20,9,12,33,190,8,27,Brian Ishola,25,North Dakota State,3,8,24,2016,2015
3,19,0,CUSA,7,10,10,20,0,3,23,5,11,25,134,3,25,Jalen Jackson,25,North Texas,11,9,10,2020,2020
4,10,1,A-10,17,8,4,12,4,15,27,5,6,28,177,4,12,Xavier Jackson,25,Virginia Commonwealth,5,9,21,2019,2018
5,6,1,Big East,22,8,3,8,5,21,29,4,10,28,160,10,13,Dontarius James,25,Xavier,2,11,32,2020,2019
6,1,0,SWAC,4,12,12,17,0,2,19,1,6,16,86,2,10,Jordan Jefferson,25,Alabama State,1,8,6,2011,2010
7,8,1,Big East,21,12,12,30,0,0,30,1,2,43,279,19,35,Alex Kellogg,25,Providence,8,9,40,2009,2008
8,2,2,Patriot,12,10,5,12,5,15,27,0,0,26,124,5,29,Kerry Kenny,25,Lafayette,5,7,17,2007,2007
9,5,1,Total,12,10,5,18,5,17,35,0,2,32,64,1,2,Joshua Ko,25,Total,4,4,13,2018,2014
10,27,0,Total,26,6,5,21,1,26,47,12,18,60,415,6,39,Nathan Laing,25,Total,6,37,32,2018,2016
11,5,0,CUSA,3,6,3,12,3,9,21,10,16,38,71,4,5,Preston Laird,25,Memphis,0,5,7,2012,2009
12,1,0,MEAC,6,10,6,16,4,9,25,1,4,4,70,5,4,Jonathan Landry,25,Coppin State,2,0,11,2010,2010
13,3,0,Southern,8,9,5,10,4,12,22,3,5,21,109,8,9,Grant Ledford,25,Chattanooga,3,13,16,2020,2020
14,3,0,Sun Belt,6,9,5,9,4,6,15,3,7,12,46,0,0,John David Little,25,Middle Tennessee,1,3,6,2010,2010
15,4,1,AAC,25,10,6,13,4,10,23,1,2,25,141,3,20,R.J. McGee,25,Tulane,6,4,28,2020,2020
