,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,,0.3,0.1,0.1,.000,.000,0.0,0.4,.000,0.0,0.3,.000,0.0,0.7,NOH,.750,0.4,0.6,7,0,NBA,2.7,0.1,0.1,,0.4,0.0,,0.1,0.3,101,40,Big East,140,128,99,159,29,82,241,71,116,70,1259,78,151,Pat Ewing,356,Georgetown,47,88,218,2008,2007
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,68,MEAC,172,145,145,264,0,3,267,66,109,62,1360,124,124,Donte Harrison,356,Hampton,45,76,296,2009,2008
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,81,SWAC,203,115,104,233,11,48,281,115,171,60,1368,90,166,Joseph Jack,356,Southern,45,68,293,2008,2007
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,27,Total,170,134,125,246,9,30,276,79,144,101,1315,92,236,Jaren Jeffery,356,Southern Utah,42,68,262,2014,2009
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,9,Ivy,158,120,80,146,40,112,258,76,90,56,1264,46,136,Mack Montgomery,356,Columbia,33,100,204,2008,2007
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17,Summit,118,124,106,201,18,46,247,90,121,52,786,48,70,David Nzekwesi,356,Denver,13,38,166,2020,2019
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,7,Total,121,120,67,208,53,193,401,63,90,75,1036,55,109,T.J. Parham,356,Total,43,61,176,2020,2018
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,15,A-Sun,168,130,109,227,21,58,285,75,104,63,1463,18,100,Jahlil Rawley,356,Stetson,83,94,186,2020,2019
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5,Summit,63,124,54,129,70,191,320,38,56,54,1110,11,67,Josh Rivers,356,Western Illinois,27,78,74,2009,2008
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,Southland,23,110,30,69,80,215,284,56,73,30,715,11,43,Jairus Roberson,356,Northwestern State,12,24,34,2020,2020
