,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,5,SWAC,101,138,128,247,10,36,283,70,99,48,1210,32,127,Jayden Saddler,356,Southern,67,112,133,2020,2019
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,37,NEC,161,149,148,287,1,6,293,57,98,100,1399,122,178,Mehmet Sahan,356,Sacred Heart,52,89,283,2011,2008
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,11,Big South,185,140,98,204,42,131,335,34,48,66,1468,41,160,Chris Shields,356,Longwood,25,114,226,2018,2016
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,OVC,162,127,66,110,61,161,271,41,69,61,1135,59,141,Milos Vranes,356,Southeast Missouri State,34,64,221,2018,2017
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,5,Big Ten,137,124,63,110,61,182,292,46,59,117,1282,42,120,Kyle Ahrens,355,Michigan State,34,59,179,2020,2016
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,4,Total,135,111,66,144,45,142,286,88,107,86,1336,51,123,Ben Boggs,355,Total,34,80,186,2013,2010
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,57,AEC,207,156,156,287,0,0,287,43,105,107,1364,112,169,Nolan Gerrity,355,Maryland-Baltimore County,25,77,319,2019,2016
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,MVC,92,127,57,150,70,189,339,31,39,75,1162,27,38,Darin Granger,355,Evansville,19,31,119,2009,2007
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,46,A-Sun,111,150,150,246,0,0,246,55,98,33,545,62,68,Boomer Herndon,355,Belmont,15,60,173,2007,2007
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,31,Total,125,152,149,297,3,13,310,48,69,90,1118,64,146,Hassan Hussein,355,Total,17,58,189,2019,2015
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,12,MWC,111,122,94,193,28,103,296,83,134,89,1130,37,141,Pervis Louder,355,Air Force,35,92,148,2019,2016
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,22,Total,178,115,96,226,19,82,308,106,152,100,1185,87,130,Anali Okoloji,355,Total,55,73,265,2015,2011
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,3,MEAC,107,118,65,149,53,192,341,66,89,43,1132,11,131,Leon Redd,355,Bethune-Cookman,29,89,118,2020,2019
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,51,Total,210,144,144,247,0,0,247,67,142,112,1809,141,284,T.J. Shipes,355,Georgia State,49,71,351,2016,2013
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,4,OVC,44,114,70,137,44,157,294,83,132,41,776,27,91,Bakari Turner,355,Morehead State,20,61,71,2014,2013
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,39,MWC,188,118,118,209,0,3,212,119,179,123,1606,139,219,David Wacker,355,Boise State,16,75,327,2019,2015
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,5,MWC,85,114,94,220,20,90,310,107,129,51,740,39,75,Gary Williams Jr.,355,San Jose State,20,68,124,2017,2016
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25,Total,114,133,91,178,42,120,298,47,75,73,867,67,121,Joe Wolfinger,355,Total,7,58,181,2010,2008
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,6,Southern,77,127,57,106,70,205,311,30,47,67,1019,59,117,Angelo Allegri,354,North Carolina-Greensboro,26,50,136,2020,2019
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,6,Big Ten,97,130,77,159,53,147,306,41,49,61,1194,15,37,Thomas Allen,354,Nebraska,45,49,112,2019,2018
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1,Total,60,115,5,13,110,307,320,14,18,76,1417,18,101,Dillon Avare,354,Total,26,45,78,2018,2015
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,2,A-Sun,75,115,56,155,59,179,334,65,84,82,1069,14,93,Osborn Blount,354,North Florida,52,76,89,2018,2016
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,CUSA,99,124,60,127,64,187,314,42,58,30,846,19,51,Courtney Captain,354,East Carolina,27,59,118,2007,2007
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,3,Total,62,116,51,109,65,207,316,57,67,54,1022,23,89,Brandon Cassise,354,Oakland,38,82,85,2008,2007
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,25,Big South,133,141,141,279,0,0,279,72,135,55,1278,118,179,Tolga Cerrah,354,Radford,28,89,251,2012,2011
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,0,SWAC,173,93,61,225,32,121,346,136,237,106,2467,50,250,Chase Cormier,354,Grambling,103,194,223,2017,2014
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,2,Total,90,123,78,187,45,138,325,63,78,58,979,23,53,Hayes Garrity,354,Total,25,60,113,2018,2014
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,67,Total,166,121,121,277,0,1,278,112,178,93,1098,59,212,Cal Hanks,354,Southern Utah,18,92,225,2015,2012
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,47,Patriot,199,139,105,186,34,125,311,42,73,61,1016,56,138,Brent Holcombe,354,Loyola (MD),21,71,255,2020,2018
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,7,AAC,97,143,132,226,11,48,274,57,99,75,1212,56,107,Darien Jackson,354,Tulsa,69,62,153,2020,2018
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,111,A-10,127,138,123,207,15,45,252,63,84,28,665,67,73,Shawn James,354,Duquesne,12,57,194,2008,2008
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,1,WAC,57,107,56,130,51,130,260,89,103,23,692,4,67,Xavier Johnson,354,Chicago State,33,97,61,2020,2020
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,6,CAA,96,125,70,127,55,158,285,49,61,32,1200,15,39,Bobby Kelly,354,Northeastern,32,59,111,2007,2007
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,20,Southland,101,131,117,225,14,37,262,78,123,28,684,43,84,Trevon Lewis,354,Nicholls State,27,56,144,2012,2012
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,36,MVC,139,128,104,187,24,70,257,74,118,79,1100,87,136,Luke McDonnell,354,Northern Iowa,31,73,226,2020,2017
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,4,WCC,98,122,92,249,30,104,353,80,111,113,1586,20,103,Cameron Miles,354,San Diego,85,123,118,2013,2010
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,48,A-Sun,137,129,122,201,7,27,228,89,125,92,1431,107,147,Eddie Murray,354,Florida Gulf Coast,36,54,244,2013,2011
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,9,Southland,143,146,146,310,0,0,310,62,128,78,1015,107,132,Lawrence Nwevo,354,Lamar,17,72,250,2010,2007
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,45,Sun Belt,150,132,121,262,11,47,309,79,114,59,1707,61,125,Brandon Patterson,354,Little Rock,51,135,211,2009,2008
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,2,MVC,127,102,92,185,10,41,226,140,173,33,923,58,74,Nick Porter,354,Creighton,37,74,185,2007,2007
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,85,Total,138,147,146,316,1,3,319,59,138,100,1282,88,218,Jordan Railey,354,Total,31,86,226,2015,2011
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,69,Big 12,176,145,135,220,10,27,247,54,102,72,1432,124,136,Keith Ramsey,354,Missouri,79,82,300,2010,2009
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,80,Total,240,134,134,243,0,0,243,86,152,111,1468,162,224,Kameron Rooks,354,Total,18,56,402,2018,2014
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,25,Total,158,123,114,231,9,33,264,99,166,61,1112,78,121,Corey Stern,354,Texas State,14,62,236,2014,2013
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,43,Southland,181,142,140,252,2,9,261,67,97,44,887,98,109,Warith Alatishe,353,Nicholls State,56,64,279,2020,2019
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,39,Total,211,134,105,223,29,86,309,56,86,83,1172,98,171,Chris Baldwin,353,Total,24,80,309,2020,2017
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,1,Southland,67,101,75,165,26,71,236,125,162,60,1109,20,133,Dimi Cook,353,Southeastern Louisiana,34,76,87,2017,2016
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,11,Summit,118,136,114,206,22,63,269,59,83,64,1243,51,117,D.J. Davis,353,South Dakota,54,81,169,2016,2015
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,30,Big West,170,134,121,245,13,49,294,72,123,89,1053,107,118,Alex Hart,353,UC-Santa Barbara,15,57,277,2018,2015
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,15,Ivy,134,102,38,87,64,197,284,85,110,88,1391,17,87,Ben Hazel,353,Princeton,41,58,151,2015,2011
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1,MVC,115,116,67,156,49,125,281,72,91,71,1295,15,114,Jeremy Jeffers,353,Drake,18,64,130,2013,2011
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,6,Southland,76,135,121,207,14,41,248,69,93,31,642,43,56,Cameron Johnson,353,Stephen F. Austin,36,51,119,2020,2020
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,37,MVC,92,126,126,256,0,3,259,101,166,62,1040,57,151,Wade Knapp,353,Missouri State,17,83,149,2009,2008
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,Total,136,137,137,278,0,0,278,79,143,103,1034,110,158,Joe Latas,353,Total,26,89,246,2012,2009
64,,0.5,0.3,1.6,.477,.554,1.1,1.9,.237,0.3,1.2,.430,1.4,3.1,POR,.636,0.6,0.9,48,5,NBA,11.9,0.6,1.5,,3.6,0.3,,0.3,2.3,24,19,ACC,109,131,117,222,14,52,274,77,100,36,656,57,59,Nassir Little,353,North Carolina,19,48,166,2019,2019
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,2,Southland,144,109,45,113,64,206,319,71,117,126,1817,96,192,Marquel McKinney,353,Sam Houston State,42,74,240,2015,2012
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,21,Big Sky,258,131,131,285,0,2,287,91,128,59,1811,152,168,Abner Moreira,353,Idaho State,53,127,410,2012,2011
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,16,WAC,105,137,136,240,1,3,243,78,113,62,1004,76,139,Romario Souza,353,Louisiana Tech,20,53,181,2012,2011
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,33,CUSA,127,121,85,187,36,123,310,75,116,57,1272,84,147,Tavaris Watts,353,Texas-El Paso,27,53,211,2009,2008
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,7,MEAC,83,120,104,266,16,50,316,97,139,51,1033,27,84,Jalen White,353,South Carolina State,29,97,110,2015,2014
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,13,Sun Belt,84,119,80,167,39,115,282,75,102,35,1115,11,75,Tyler Bullock,352,Denver,38,93,95,2008,2007
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,2,MEAC,58,128,95,216,33,85,301,63,87,73,843,44,131,Myles Carter,352,Delaware State,32,69,102,2020,2018
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,10,Total,130,114,34,86,80,232,318,44,61,91,1350,48,170,Jimmy Drew,352,Total,55,75,178,2011,2007
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,Sun Belt,149,134,108,207,26,74,281,58,101,28,709,33,79,Eric Frederick,352,Florida International,20,51,182,2011,2011
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,22,Total,168,127,121,223,6,21,244,92,125,54,892,73,86,Tevin Glass,352,Total,28,56,241,2017,2015
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,36,WAC,150,115,84,154,31,124,278,91,125,53,1168,54,139,Riley Grigsby,352,Seattle,23,44,204,2020,2019
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,5,NEC,105,124,72,165,52,161,326,52,78,63,1303,33,101,Raphael Jordan,352,Bryant,51,70,138,2013,2011
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,54,WAC,181,121,83,205,38,121,326,72,106,119,1613,60,213,Aleer Leek,352,Missouri-Kansas City,20,99,241,2019,2016
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2,CAA,83,116,31,77,85,235,312,35,52,67,1108,38,74,Abdi Lidonde,352,Old Dominion,28,54,121,2008,2007
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,30,A-Sun,349,143,142,284,1,6,290,65,115,57,1452,169,163,Emanuel Littles,352,North Alabama,23,97,518,2020,2019
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,3,MAAC,119,106,43,108,63,174,282,77,94,93,1995,32,215,Nehemiah Mack,352,Manhattan,84,94,151,2020,2018
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,83,Pac-10,204,149,149,253,0,1,254,54,136,73,1331,120,154,Lorenzo Mata-Real,352,UCLA,20,48,324,2008,2007
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,1,A-10,48,106,90,212,16,67,279,124,158,29,688,49,54,Kojo Mensah,352,Duquesne,41,89,97,2008,2008
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2,NEC,139,127,73,158,54,184,342,44,71,104,1140,30,124,Curtis Oakley,352,Bryant,21,56,169,2016,2013
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0,MEAC,41,109,11,42,98,282,324,36,47,33,949,18,31,Deric Rudolph,352,Savannah State,31,45,59,2012,2012
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,0,Total,86,112,56,141,56,174,315,72,121,77,1010,17,79,Carter Sanderson,352,Total,41,85,103,2015,2012
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,11,MWC,117,128,111,242,17,54,296,79,137,91,1505,48,103,Taylor Stewart,352,Air Force,36,104,165,2012,2009
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,50,CAA,198,143,143,267,0,0,267,66,122,60,1361,126,160,Darren Townes,352,Hofstra,39,83,324,2009,2008
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,5,Ivy,149,128,96,177,32,88,265,64,81,50,1026,47,80,Brad Unger,352,Harvard,18,65,196,2008,2007
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,7,A-10,112,127,106,240,21,75,315,77,101,73,1031,63,71,Jamal Wilson,352,Rhode Island,33,74,175,2012,2009
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,12,CAA,91,125,34,71,91,265,336,11,15,66,1430,17,51,Kris Wooten,352,Elon,25,43,108,2020,2019
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,3,Big South,111,129,102,231,27,92,323,66,109,55,1314,38,139,Tovi Bailey,351,Charleston Southern,30,108,149,2009,2008
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,51,Big East,218,143,143,205,0,0,205,65,93,105,1416,150,198,Dhamir Cosby-Roundtree,351,Villanova,43,57,368,2020,2018
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,27,OVC,171,136,133,249,3,9,258,76,133,32,944,110,88,George Dixon,351,Eastern Illinois,46,43,281,2020,2020
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,14,Big Sky,164,113,77,176,36,88,264,89,140,60,1495,55,135,Nnamdi Ezenwa,351,Idaho State,54,79,219,2015,2013
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,59,CUSA,154,143,143,297,0,3,300,65,148,64,1360,110,216,Robert Goff,351,Marshall,29,65,264,2013,2012
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,13,Total,109,121,56,115,65,172,287,44,63,76,1118,63,83,Jayson Guerrier,351,Total,19,43,172,2013,2010
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,8,Big Sky,138,123,107,259,16,56,315,89,145,76,1095,28,138,Evann Hall,351,Idaho State,51,92,166,2016,2014
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,17,MEAC,112,147,144,297,3,6,303,54,87,59,1082,69,149,Joe Ikhinmwin,351,South Carolina State,20,83,181,2012,2011
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,Pac-10,123,138,134,232,4,8,240,71,102,29,805,59,82,Davon Jefferson,351,Southern California,24,69,182,2008,2008
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,Total,118,113,41,106,72,210,316,53,71,73,1396,22,93,Kevin Kaspar,351,Western Kentucky,37,81,140,2015,2012
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,3,Southland,100,113,87,195,26,78,273,99,135,68,906,52,73,Nathaniel Mason,351,Sam Houston State,20,63,152,2014,2013
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,21,Total,196,145,144,233,1,1,234,60,106,61,1250,117,168,Edrico McGregor,351,Texas-San Antonio,24,104,313,2014,2013
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,5,Summit,71,120,24,57,96,238,295,15,17,39,833,7,66,Aanen Moody,351,North Dakota,27,41,78,2020,2019
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,85,Big Ten,213,131,130,270,1,3,273,88,137,141,1728,121,220,Julian Moore,351,Penn State,29,78,334,2018,2014
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,8,Big East,88,125,64,145,61,154,299,40,56,31,926,8,48,Justin Moore,351,Villanova,22,55,96,2020,2020
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,60,ACC,207,131,99,179,32,109,288,57,92,117,1856,96,234,Eddie Odio,351,Boston College,41,75,303,2015,2012
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,78,ACC,203,126,126,240,0,0,240,99,174,131,1282,122,211,Michael Ojo,351,Florida State,23,96,325,2017,2013
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,27,MEAC,206,146,146,263,0,2,265,59,126,63,1429,107,173,Brian Pearson,351,Savannah State,31,86,313,2016,2015
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,12,Total,105,115,23,51,92,318,369,29,44,94,1300,17,127,Ben Smith,351,Texas-Rio Grande Valley,61,70,122,2010,2007
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,20,CUSA,124,146,135,253,11,37,290,48,83,55,1218,111,128,Jason Wade,351,Old Dominion,85,79,235,2020,2019
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,40,Summit,219,135,114,255,21,52,307,60,75,67,1365,110,138,Dan Waterstradt,351,Oakland,32,45,329,2009,2008
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,18,NEC,221,122,71,156,51,189,345,56,95,104,1943,90,153,Keon Williams,351,St. Francis (NY),58,62,311,2019,2016
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,20,CUSA,180,155,146,249,9,38,287,32,51,64,929,80,115,Aleksandar Zecevic,351,Florida Atlantic,24,71,260,2020,2019
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,4,MAC,211,102,28,69,74,226,295,72,104,98,1857,27,133,John Boyer,350,Buffalo,61,104,238,2010,2007
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,29,MEAC,169,139,139,283,0,0,283,72,113,38,867,97,90,David Bruce,350,Hampton,12,73,266,2013,2012
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,8,Summit,106,121,91,191,30,124,315,78,107,110,1575,44,145,Dustin Dibble,350,Missouri-Kansas City,33,79,150,2012,2009
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,38,SWAC,277,137,135,290,2,10,300,74,116,64,1229,156,159,Emmanuel Ejeh,350,Mississippi Valley State,28,61,433,2019,2018
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,35,AEC,248,139,137,274,2,7,281,70,135,33,1034,153,63,Chris Holm,350,Vermont,17,69,401,2007,2007
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,6,WCC,170,117,51,125,66,179,304,50,71,60,1324,55,97,David Humphries,350,Loyola Marymount,42,65,225,2016,2015
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,83,Total,251,139,139,340,0,0,340,72,133,113,1833,131,254,Greg Lewis,350,Rutgers,33,114,382,2016,2012
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,6,Big Ten,144,92,52,132,40,128,260,126,165,69,1618,33,143,Connor McCaffery,350,Iowa,60,74,177,2020,2018
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,43,CUSA,123,142,136,220,6,21,241,60,83,69,1204,165,155,Torye Pelham,350,Southern Mississippi,64,54,288,2012,2010
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2,AEC,154,117,84,161,33,133,294,83,133,80,1189,70,140,Marko Pirovic,350,Maine,43,68,224,2017,2014
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,5,OVC,120,101,63,158,38,141,299,110,141,39,1228,21,99,Mike Robinson,350,Eastern Illinois,77,95,141,2008,2007
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,16,SEC,162,131,130,262,1,18,280,87,151,32,854,52,75,Simisola Shittu,350,Vanderbilt,21,93,214,2019,2019
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,74,Horizon,217,132,132,270,0,3,273,86,121,70,1428,113,192,George Tandy,350,Cleveland State,52,81,330,2009,2008
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,5,Pac-12,109,127,79,165,48,141,306,48,79,59,1258,12,86,Elijah Weaver,350,Southern California,32,105,121,2020,2019
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,Total,115,136,124,224,12,40,264,65,124,48,810,44,112,Bryan Bouchie,349,Total,14,57,159,2010,2008
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0,Southland,65,111,10,30,101,260,290,26,31,63,1056,9,105,Asa Cantwell,349,Houston Baptist,25,51,74,2017,2016
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,66,AAC,128,129,129,232,0,0,232,91,139,67,845,66,115,Coreontae DeBerry,349,Cincinnati,14,42,194,2016,2015
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0,Patriot,68,103,55,118,48,151,269,95,105,30,758,13,57,Arvydas Eitutavicius,349,American,17,65,81,2007,2007
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,Big West,153,149,130,249,19,49,298,32,74,57,994,76,95,Matt Hanson,349,Cal Poly,25,58,229,2008,2007
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,Total,132,111,60,141,51,151,292,76,103,79,1117,46,138,Kashaun Hicks,349,Total,27,95,178,2020,2017
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,47,CUSA,147,127,127,209,0,1,210,95,173,65,1030,114,165,Frank Holmes,349,Alabama-Birmingham,22,51,261,2008,2007
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,Total,106,125,60,119,65,186,305,34,48,112,1028,41,145,Scott King,349,Total,15,50,147,2016,2013
