,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,1,0,A-10,3,5,1,5,4,13,18,2,4,23,75,1,3,Jack Westerfield,16,Dayton,2,1,4,2019,2016
1,1,1,Big Ten,6,6,3,8,3,14,22,1,2,47,71,4,7,Keenan Wetzel,16,Michigan State,0,3,10,2015,2012
2,0,0,Total,8,5,1,1,4,7,8,2,5,20,36,0,2,Max Wiepking,16,Arizona,0,1,8,2013,2011
3,2,9,Total,18,7,7,18,0,1,19,2,3,25,138,8,25,Travon Wilcher,16,Total,4,11,26,2012,2009
4,1,0,SWAC,1,4,3,8,1,5,13,7,9,13,40,3,14,Andrew Wilkerson,16,Texas Southern,3,10,4,2007,2007
5,1,0,MEAC,2,6,3,6,3,6,12,1,2,3,37,1,5,Jamir Williams,16,Florida A&M,4,2,3,2020,2020
6,12,0,CUSA,7,6,6,15,0,3,18,4,9,4,74,3,5,Ryan Williams,16,Tulane,5,8,10,2007,2007
7,5,0,AAC,9,5,0,1,5,14,15,1,4,10,61,1,3,Tom Wilson,16,Southern Methodist,1,6,10,2017,2017
8,3,0,Big 12,4,6,2,7,4,11,18,0,0,28,50,2,2,Zach Winter,16,Kansas State,3,4,6,2017,2016
9,2,22,Southern,22,5,5,11,0,0,11,6,13,26,172,10,35,Rashad Wright,16,College of Charleston,5,7,32,2010,2010
10,1,2,Southland,8,5,3,6,2,10,16,3,6,18,35,1,3,Austin Adams,15,Northwestern State,1,5,9,2014,2013
11,1,0,OVC,7,5,2,7,3,12,19,2,2,10,71,1,5,Hampus Ahlin,15,Tennessee State,2,7,8,2018,2018
12,4,5,Sun Belt,8,6,3,12,3,4,16,0,4,9,95,3,15,David Anderson,15,Florida Atlantic,2,9,11,2007,2007
13,1,1,Horizon,2,4,4,5,0,0,5,7,10,11,26,4,3,Kevin Anderson,15,Cleveland State,3,3,6,2010,2010
14,8,0,Ivy,6,5,1,2,4,15,17,1,2,16,91,0,8,Kevin App,15,Cornell,3,5,6,2007,2007
15,5,2,SWAC,24,5,5,21,0,1,22,5,6,21,199,6,11,Josh Armstrong,15,Jackson State,5,9,30,2012,2011
16,0,1,Southland,7,7,7,16,0,0,16,1,4,12,67,5,15,Tavin Askew,15,Incarnate Word,2,1,12,2016,2016
17,4,1,Ivy,3,4,1,5,3,9,14,4,5,29,79,4,8,Charlie Bagin,15,Princeton,4,9,7,2020,2018
18,5,8,SWAC,8,6,6,20,0,0,20,3,8,25,137,6,20,Brandon Baker,15,Jackson State,0,6,14,2008,2008
19,2,0,CUSA,4,5,0,2,5,13,15,0,0,6,35,1,0,Ryan Barbre,15,Southern Methodist,0,3,5,2010,2010
20,0,0,SWAC,2,5,1,3,4,13,16,1,4,7,41,0,8,Corey Barnes,15,Alcorn State,1,5,2,2015,2015
21,2,16,Southern,12,6,3,7,3,13,20,0,0,24,104,1,9,Levi Barnes,15,Samford,5,4,13,2013,2011
22,2,1,ACC,11,6,4,9,2,7,16,1,4,28,61,3,7,Justice Bartley,15,Virginia,0,11,14,2018,2016
23,8,0,Big Sky,5,6,3,7,3,12,19,0,0,31,107,1,9,T.J. Benson,15,Weber State,3,7,6,2009,2008
24,2,0,Total,1,4,3,6,1,6,12,6,6,24,72,1,8,Ricky Bieszki,15,Oakland,5,3,2,2009,2007
25,3,0,Total,4,6,3,3,3,9,12,0,4,14,34,2,7,Ryder Bowline,15,Elon,1,4,6,2017,2014
26,2,0,Pac-12,5,5,1,2,4,9,11,1,2,20,43,1,4,Brett Brady,15,Colorado,2,3,6,2016,2014
27,7,0,MAC,1,5,1,4,4,22,26,1,2,17,140,3,16,Chase Brogna,15,Ball State,2,3,4,2014,2013
28,5,0,Pac-12,4,6,5,15,1,8,23,2,2,36,76,3,4,David Brown,15,UCLA,6,11,7,2015,2012
29,0,2,Big South,12,6,6,11,0,0,11,3,4,18,76,9,11,Gabe Bryant,15,Gardner-Webb,2,6,21,2020,2020
30,11,1,Big Sky,20,6,6,12,0,0,12,3,10,20,137,14,19,G.B. Burningham,15,Weber State,5,3,34,2007,2007
31,7,1,SWAC,14,6,4,12,2,10,22,1,3,16,135,7,15,Brandon Byars,15,Southern,2,10,21,2008,2008
32,3,0,SEC,5,4,1,6,3,7,13,4,6,16,32,0,2,Lucas Campbell,15,Tennessee,1,2,5,2019,2016
33,4,3,MEAC,10,5,4,8,1,5,13,4,5,9,65,1,8,Tahj-Malik Campbell,15,Morgan State,2,7,11,2020,2020
34,1,4,A-10,11,7,7,18,0,1,19,1,3,14,78,5,14,Robert Carpenter,15,St. Bonaventure,3,3,16,2020,2020
35,2,2,Big East,9,5,2,9,3,9,18,2,6,14,66,5,15,Grayson Carter,15,Georgetown,2,8,14,2019,2019
36,1,0,CAA,2,3,2,5,1,2,7,8,11,16,26,1,2,Cam Chambers,15,North Carolina-Wilmington,1,4,3,2012,2011
37,1,0,MAC,4,5,2,2,3,20,22,2,2,11,83,1,1,Zeke Chapman,15,Ball State,3,4,5,2012,2012
38,1,1,AEC,10,7,7,15,0,0,15,1,2,27,77,9,19,Alex Christie,15,Stony Brook,2,7,19,2020,2019
39,6,0,MAC,8,4,1,4,3,10,14,4,4,13,72,5,11,Donald Cloutier,15,Western Michigan,7,6,13,2007,2007
40,4,0,CAA,2,4,1,1,3,4,5,4,6,18,24,0,0,Christian Collins,15,Towson,2,1,2,2013,2012
41,0,1,AEC,7,6,3,8,3,11,19,0,0,16,58,1,5,Matt Conway,15,Maryland-Baltimore County,2,2,8,2011,2011
42,1,0,CAA,2,5,1,1,4,15,16,1,1,22,81,3,8,Deyon Cook,15,Towson,1,5,5,2012,2012
43,1,3,GWC,6,5,3,13,2,6,19,3,7,13,87,7,9,Matt Darnell,15,NJIT,4,7,13,2010,2010
44,6,0,ACC,5,3,2,7,1,4,11,8,14,45,90,3,10,Jordan Davidson,15,Duke,2,7,8,2010,2007
45,4,0,Big South,5,6,5,8,1,4,12,2,2,5,19,1,4,Avery Davis,15,Winthrop,0,1,6,2019,2019
46,6,1,Patriot,3,4,3,7,1,9,16,6,6,24,52,1,6,Jay Jay Davis,15,Lehigh,2,5,4,2018,2016
47,0,0,SWAC,1,6,3,10,3,7,17,0,0,3,39,1,3,Justin Dobbs,15,Grambling,3,7,2,2013,2013
48,1,2,ACC,9,7,7,10,0,0,10,1,6,17,56,5,11,Chris Doherty,15,Notre Dame,2,2,14,2020,2019
49,2,4,Southland,15,7,6,20,1,1,21,0,0,8,105,7,25,Jeff Drew,15,Central Arkansas,4,11,22,2014,2014
50,1,0,Southern,0,6,5,8,1,4,12,2,4,7,28,0,1,Dillon Dunford,15,Western Carolina,5,1,0,2012,2012
51,0,0,SWAC,7,5,5,10,0,0,10,5,8,6,45,3,7,James Edwards,15,Southern,1,1,10,2020,2020
52,5,0,A-Sun,3,7,6,20,1,5,25,0,0,15,76,4,4,Selden Edwards,15,Gardner-Webb,3,4,7,2007,2007
53,2,1,MVC,5,6,6,12,0,1,13,3,7,14,51,2,7,C.J. Erickson,15,Evansville,1,4,7,2009,2009
54,1,1,SWAC,10,6,4,5,2,3,8,1,2,10,41,4,5,Josh Everett,15,Jackson State,3,3,14,2020,2019
55,8,0,Big South,12,6,6,12,0,2,14,3,9,39,143,3,15,Dominic Ezeani,15,Longwood,6,4,15,2018,2017
56,11,0,Patriot,18,7,7,15,0,1,16,1,9,25,135,10,9,Nick Finke,15,Army,1,7,28,2020,2018
57,2,0,Big East,2,5,3,6,2,9,15,3,4,26,39,0,6,Andrew Fonts,15,Providence,3,2,2,2020,2018
58,5,0,Ivy,7,5,2,7,3,4,11,2,5,24,94,0,15,Matt Fraschilla,15,Harvard,3,11,7,2017,2014
59,8,0,Big Sky,4,6,5,12,1,5,17,2,2,18,119,0,16,Evan Garrison,15,Portland State,2,4,4,2016,2016
60,3,2,MEAC,7,6,6,10,0,0,10,3,8,5,60,8,14,Jakeel Gary,15,Norfolk State,3,7,15,2007,2007
61,3,1,Ivy,4,4,4,12,0,4,16,7,11,9,37,7,3,Michael Gately,15,Columbia,1,2,11,2007,2007
62,19,2,Horizon,16,4,3,10,1,9,19,6,6,20,105,1,14,CJ Gettelfinger,15,Oakland,6,15,17,2020,2020
63,3,0,Total,6,4,2,6,2,6,12,5,6,9,30,2,0,Adam Glenville,15,Oral Roberts,0,2,8,2016,2014
64,2,4,SWAC,10,6,5,7,1,5,12,2,3,7,68,5,8,Therrell Gosier II,15,Alabama State,3,11,15,2019,2019
65,3,0,Big Sky,1,5,4,12,1,1,13,4,8,10,47,1,2,Zach Graves,15,Montana,3,4,2,2008,2008
66,7,0,Total,13,6,3,12,3,16,28,0,5,39,124,8,15,Trevon Gross Jr.,15,Total,6,8,21,2019,2017
67,3,1,Summit,6,5,4,7,1,5,12,4,7,22,65,3,8,Rylen Grundy,15,Purdue-Fort Wayne,4,5,9,2020,2019
68,1,4,WAC,20,7,7,17,0,0,17,1,6,14,80,6,7,Colin Hallberg,15,Boise State,2,3,26,2007,2007
69,1,2,Big Ten,5,6,6,8,0,0,8,3,6,16,66,8,10,Jermaine Hamlin,15,Illinois,2,5,13,2020,2020
70,3,0,Horizon,3,5,3,17,2,8,25,3,8,26,75,3,9,Jimmy Harding,15,Illinois-Chicago,4,6,6,2011,2008
71,9,0,Patriot,5,4,2,4,2,8,12,5,5,19,54,2,4,Jeff Harris,15,Holy Cross,4,9,7,2012,2009
72,6,0,Big South,2,5,3,6,2,8,14,3,5,18,118,2,8,Deacon Heath,15,North Carolina-Asheville,1,3,4,2020,2019
73,1,1,Pac-10,8,7,7,14,0,2,16,1,2,19,69,2,8,Chris Henry,15,Washington State,2,5,10,2008,2007
74,3,0,OVC,6,5,0,9,5,16,25,0,1,14,70,0,1,Greg Holley,15,Tennessee State,5,7,6,2010,2009
75,1,2,Big South,6,6,5,14,1,2,16,2,5,2,41,6,3,Frank Holloway,15,Longwood,1,7,12,2013,2013
76,0,0,Horizon,3,5,3,7,2,6,13,3,5,6,41,0,5,Austin Hood,15,Illinois-Chicago,1,2,3,2010,2010
77,1,0,Patriot,3,5,0,3,5,19,22,0,0,11,55,1,4,Jason Houle,15,Army,1,3,4,2018,2017
78,3,0,MVC,5,5,2,3,3,8,11,2,2,14,60,2,6,Sean Houpt,15,Bradley,1,2,7,2020,2020
79,3,1,A-Sun,16,6,6,13,0,1,14,3,9,14,92,8,11,Logan Hovey,15,Florida Gulf Coast,2,3,24,2015,2015
80,0,2,Summit,3,4,0,4,4,15,19,3,5,21,87,0,8,John Hubler,15,IUPUI,1,7,3,2016,2015
81,2,0,Big South,9,7,6,7,1,1,8,0,0,15,31,2,4,Keyshawn Hunter,15,Winthrop,1,0,11,2020,2019
82,11,0,Pac-10,5,5,5,9,0,4,13,5,7,16,105,2,4,Marcus Jackson,15,Arizona State,4,8,7,2011,2010
