,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,41,8,Pac-10,38,49,24,48,25,59,107,11,19,33,500,27,49,Joel Smith,134,Washington,21,34,65,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,3,Ivy,73,55,53,116,2,6,122,22,42,49,468,44,57,Blaise Staab,134,Columbia,18,26,117,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,65,1,CUSA,53,45,15,38,30,77,115,14,23,18,550,5,39,Rasham Suarez,134,Southern Mississippi,15,45,58,2015,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,12,Sun Belt,74,56,56,119,0,2,121,22,35,32,595,43,102,Chris Watson,134,Florida Atlantic,18,43,117,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,61,7,MEAC,43,43,37,75,6,25,100,42,58,51,690,29,66,Kyle White,134,Delaware State,28,45,72,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,72,2,Southern,37,42,10,33,32,75,108,18,27,55,561,8,47,Jason Williams,134,East Tennessee State,21,54,45,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,96,1,MAAC,37,39,32,73,7,26,99,49,75,31,488,14,47,Phil Winston,134,Quinnipiac,10,47,51,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,41,0,OVC,19,44,30,78,14,42,120,32,47,58,451,7,44,Dewayne Wright,134,Eastern Illinois,23,38,26,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19,10,Total,46,45,21,50,24,87,137,20,28,49,491,26,36,Kyle Wright,134,Total,8,20,72,2010,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,43,0,Big 12,32,32,5,29,27,80,109,42,53,64,600,5,58,Luke Adams,133,Texas Tech,25,48,37,2015,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
