,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,0,0,Southland,0,0,0,0,0,0,0,0,0,1,0,0,0,Jordan Wallace,0,Lamar,0,0,0,2020,2020
1,0,0,Pac-12,0,0,0,0,0,0,0,0,0,2,3,1,0,Joseph Wallace,0,UCLA,0,0,1,2018,2018
2,0,0,Big South,0,0,0,0,0,0,0,0,0,1,0,0,1,Keoni Wallington,0,Longwood,0,0,0,2018,2018
3,1,0,Horizon,0,0,0,1,0,0,1,0,0,12,15,0,1,Tony Walls,0,Green Bay,0,2,0,2009,2009
4,0,0,Big East,1,0,0,0,0,0,0,0,0,5,8,0,1,Tyler Walston,0,St. John's (NY),0,0,1,2014,2014
5,3,0,Southland,1,0,0,3,0,0,3,0,0,6,23,0,3,Aaron Walton,0,Stephen F. Austin,0,1,1,2019,2019
6,0,0,GWC,0,0,0,0,0,0,0,0,0,1,1,0,1,Cliff Warner,0,South Dakota,0,0,0,2011,2011
7,0,0,SWAC,1,0,0,1,0,5,6,0,0,2,18,1,4,Geronimo Warner,0,Jackson State,0,0,2,2020,2020
8,0,0,CUSA,0,0,0,2,0,2,4,0,0,5,4,0,2,Mitch Warner,0,Charlotte,0,0,0,2016,2015
9,0,0,NEC,0,0,0,1,0,0,1,0,0,2,5,0,2,Deshawndre Washington,0,Robert Morris,0,1,0,2020,2020
10,0,0,SWAC,1,0,0,1,0,0,1,0,0,4,4,0,3,Dewayne Washington,0,Texas Southern,0,1,1,2016,2016
11,0,0,SWAC,0,0,0,0,0,0,0,0,0,1,0,0,0,Eric Washington,0,Texas Southern,0,0,0,2014,2014
12,0,0,MEAC,0,0,0,0,0,0,0,0,0,2,4,0,0,Jamaal Washington,0,Hampton,0,1,0,2009,2008
13,0,0,SWAC,0,0,0,0,0,0,0,0,0,3,5,0,1,Kaezron Washington,0,Arkansas-Pine Bluff,0,1,0,2020,2020
14,0,0,MEAC,,0,0,1,0,0,1,0,0,1,,,,Matt Washington,0,Delaware State,0,0,1,2008,2008
15,0,0,OVC,1,0,0,0,0,0,0,0,0,3,4,0,0,Jon Watson,0,Southeast Missouri State,0,0,1,2009,2009
16,0,0,Southern,0,0,0,0,0,0,0,0,0,3,3,0,2,Eric Watts,0,Furman,0,0,0,2008,2008
17,1,1,MAC,0,0,0,0,0,0,0,0,0,5,5,0,0,Colton Webber-Mitchell,0,Central Michigan,0,0,0,2019,2019
18,0,1,MEAC,3,0,0,2,0,0,2,0,0,4,15,1,3,Chad Webster,0,North Carolina A&T,0,3,4,2009,2008
19,0,0,MEAC,2,0,0,0,0,0,0,0,1,3,12,0,1,Wade Weeks,0,Bethune-Cookman,0,1,2,2007,2007
20,0,0,MAAC,0,0,0,0,0,7,7,0,2,5,11,0,2,Parker Weiss,0,Iona,0,0,0,2020,2020
21,0,0,Pac-12,1,0,0,0,0,1,1,0,0,4,4,0,0,Blake Welle,0,University of California,0,0,1,2019,2019
22,0,0,Big 12,0,0,0,0,0,0,0,0,0,1,1,0,0,Anthony West,0,Kansas,0,0,0,2012,2012
23,0,0,AAC,0,0,0,0,0,0,0,0,0,4,5,0,1,Jasen West,0,Temple,1,1,0,2020,2019
24,1,0,MAAC,1,0,0,0,0,3,3,0,0,14,24,0,2,Saren Westrop,0,Iona,0,0,1,2016,2016
25,0,0,WCC,2,0,0,1,0,0,1,0,0,9,13,0,1,Michael Wexler,0,Pepperdine,0,1,2,2020,2019
26,0,1,Big West,4,0,0,1,0,0,1,0,0,6,25,1,5,Felix White,0,UC-Santa Barbara,0,2,5,2017,2017
27,0,0,SEC,0,0,0,0,0,0,0,0,0,1,1,0,0,Ramon White,0,Texas A&M,0,0,0,2015,2015
28,0,0,CUSA,1,0,0,1,0,0,1,0,0,6,8,0,0,Ladarrius Whitehead,0,Tulsa,1,0,1,2011,2011
29,0,0,AAC,0,0,0,0,0,0,0,0,0,4,2,0,0,John Whitely,0,East Carolina,0,0,0,2017,2017
30,1,1,Horizon,2,0,0,4,0,0,4,0,4,4,14,2,2,Alex Wilbourn,0,Youngstown State,0,1,4,2018,2018
31,0,0,Patriot,0,0,0,0,0,0,0,0,0,2,2,0,0,Eric Wilde,0,Army,0,0,0,2011,2011
32,0,0,Horizon,1,0,0,1,0,2,3,0,0,2,15,1,0,Arthur Wiley,0,Illinois-Chicago,0,1,2,2010,2010
33,1,0,MVC,1,0,0,3,0,1,4,0,0,11,12,0,0,Brandon Williams,0,Evansville,0,1,1,2013,2011
34,0,1,Southland,4,0,0,5,0,0,5,0,2,9,16,1,3,Brandon Williams,0,Northwestern State,2,0,5,2013,2013
35,1,0,NEC,0,0,0,0,0,0,0,0,0,1,4,0,1,Caylen Williams,0,Long Island University,0,0,0,2017,2017
36,0,0,ACC,0,0,0,0,0,0,0,0,0,2,3,0,0,Chad Williams,0,North Carolina State,0,0,0,2008,2007
37,0,0,MAAC,0,0,0,0,0,0,0,0,0,4,2,0,0,Chris Williams,0,Saint Peter's,0,2,0,2016,2016
38,7,0,Ind,1,0,0,0,0,2,2,0,0,2,21,0,1,Darrell Williams,0,New Orleans,0,4,1,2013,2013
39,0,0,A-10,0,0,0,0,0,0,0,0,0,1,1,0,0,Dennis Williams,0,Dayton,0,0,0,2012,2012
40,0,0,Big South,0,0,0,0,0,0,0,0,0,3,16,0,0,Dominique Williams,0,Charleston Southern,0,0,0,2012,2012
41,0,0,ACC,0,0,0,0,0,0,0,0,0,4,4,0,0,Grant Williams,0,Louisville,0,0,0,2020,2020
42,0,0,Big East,0,0,0,0,0,0,0,0,0,1,,0,0,Javon Williams,0,Connecticut,0,0,0,2013,2013
43,0,0,Horizon,0,0,0,1,0,0,1,0,0,3,10,1,1,Kody Williams,0,Loyola (IL),0,1,1,2013,2013
44,0,0,SEC,1,0,0,2,0,0,2,0,0,5,7,0,1,Mychal Williams,0,Louisiana State,1,1,1,2013,2013
45,1,0,MAC,0,0,0,1,0,0,1,0,2,7,12,0,1,Reggie Williams,0,Ohio,0,0,0,2015,2015
46,0,0,Big West,0,0,0,0,0,0,0,0,0,1,2,0,0,Tony Williams,0,UC-Santa Barbara,0,0,0,2011,2011
47,0,0,MWC,0,0,0,1,0,0,1,0,0,7,14,0,0,Zachary Williams,0,Nevada,1,0,0,2020,2020
48,0,0,Patriot,0,0,0,0,0,0,0,0,0,1,0,1,0,Austin Williamson,0,Army,0,0,1,2014,2014
49,0,0,CUSA,0,0,0,0,0,0,0,0,0,1,1,0,0,Jules Williamson,0,Texas-El Paso,0,0,0,2020,2020
50,0,0,WAC,0,0,0,0,0,0,0,0,0,3,5,0,1,Dante Willis,0,Texas-San Antonio,1,0,0,2013,2013
51,0,0,WCC,0,0,0,0,0,0,0,0,0,1,1,0,0,Charles Wilson,0,San Francisco,0,0,0,2007,2007
52,0,0,CUSA,2,0,0,1,0,1,2,0,0,7,8,0,1,Garrett Wilson,0,Southern Methodist,1,1,2,2013,2013
53,0,0,Big 12,0,0,0,0,0,1,1,0,0,2,2,0,1,Jalen Wilson,0,Kansas,0,1,0,2020,2020
54,0,0,Big Sky,0,0,0,0,0,1,1,0,0,2,7,0,0,Gabor Wohner,0,Northern Arizona,0,0,0,2008,2008
55,2,0,Southern,2,0,0,0,0,1,1,0,0,1,8,0,1,Sam Wolfe,0,Virginia Military Institute,0,1,2,2020,2020
56,0,0,Southland,0,0,0,1,0,0,1,0,0,3,4,0,0,Joe Wong,0,Southeastern Louisiana,0,1,0,2010,2010
57,0,0,Big South,3,0,0,8,0,0,8,0,0,6,15,0,2,Asaad Woods,0,Liberty,1,4,3,2011,2011
58,1,0,MAC,1,0,0,0,0,0,0,0,0,3,5,0,0,Brennen Woods,0,Northern Illinois,0,1,1,2018,2018
59,0,0,SWAC,1,0,0,0,0,0,0,0,0,1,0,0,0,Kimium Woods,0,Alabama A&M,0,0,1,2017,2017
60,0,0,AAC,0,0,0,0,0,0,0,0,0,3,2,1,0,Bernard Woodside,0,Tulane,0,0,1,2017,2017
61,1,1,Big West,1,0,0,0,0,1,1,0,0,9,22,0,3,Brian Wright,0,UC-Riverside,0,1,1,2015,2015
62,0,0,MEAC,0,0,0,0,0,0,0,0,0,2,3,0,0,Jahmal Wright,0,Maryland-Eastern Shore,0,0,0,2020,2020
63,0,0,MWC,0,0,0,0,0,0,0,0,0,2,3,0,0,Zach Wurm,0,Nevada,0,0,0,2019,2019
64,0,0,MWC,0,0,0,1,0,0,1,0,0,3,4,0,0,Stephon Wynn,0,Colorado State,1,0,0,2013,2013
65,0,0,Big East,0,0,0,0,0,0,0,0,0,9,8,0,0,Pantelis Xidias,0,DePaul,0,1,0,2020,2019
66,0,0,GWC,,0,0,0,0,0,0,0,0,,15,,,Michael Yahnke,0,Texas-Rio Grande Valley,0,,0,2012,2012
67,0,0,GWC,2,0,0,0,0,0,0,0,1,3,3,0,1,Lafayette Yarbray,0,Utah Valley,0,1,2,2010,2010
68,0,0,ACC,1,0,0,1,0,0,1,0,0,6,7,0,0,Cleveland Yates,0,Florida State,0,0,1,2020,2020
69,2,0,WCC,0,0,0,1,0,2,3,0,1,6,11,0,1,John Yi,0,Pepperdine,0,3,0,2016,2015
70,1,0,WCC,1,0,0,2,0,0,2,0,0,12,18,0,5,Jay Yoon,0,Pepperdine,0,1,1,2020,2019
71,0,0,Southland,0,0,0,1,0,0,1,0,0,2,3,0,2,Aubin Young,0,Northwestern State,0,0,0,2007,2007
72,0,0,CAA,0,0,0,1,0,0,1,0,2,4,3,1,0,Brian Young,0,Delaware,0,0,1,2009,2009
73,0,0,Total,1,0,0,10,0,2,12,0,0,14,18,3,1,Grant Youngkin,0,Total,0,0,4,2020,2017
74,0,0,MAAC,0,0,0,0,0,0,0,0,0,1,1,0,0,Jemaa Yuori,0,Quinnipiac,0,0,0,2016,2016
75,0,0,AAC,0,0,0,0,0,1,1,0,0,4,3,0,1,Alec Zaccardo,0,Tulane,0,0,0,2020,2020
76,0,0,Summit,0,0,0,3,0,0,3,0,0,3,4,1,1,Andrew Zahora,0,Western Illinois,0,0,1,2009,2009
77,0,0,Big Ten,0,0,0,0,0,0,0,0,0,2,0,0,0,Eric Zalewski,0,Northwestern,0,0,0,2020,2020
78,1,0,AEC,3,0,0,4,0,1,5,0,1,4,24,3,4,Branimir Zeko,0,New Hampshire,1,3,6,2007,2007
79,0,0,Big Ten,0,0,0,1,0,1,2,0,0,4,5,1,0,Alex Zhao,0,Penn State,0,0,1,2017,2017
