,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,65,0,AEC,55,146,115,254,31,90,344,153,206,47,1083,56,79,Kaimondre Owes,476,Maine,22,112,111,2009,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,9,MEAC,111,165,57,115,108,276,391,38,48,57,1317,30,110,Devon Walker,476,Maryland-Eastern Shore,45,52,141,2015,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,61,MVC,204,199,199,435,0,0,435,78,156,67,1596,129,177,Myles Walker,476,Indiana State,30,96,333,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,101,15,Total,201,159,52,125,107,342,467,51,81,114,1818,76,121,Anthony Wright,476,Total,47,116,277,2011,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,152,46,CAA,288,175,120,279,55,168,447,70,92,101,2030,93,107,Jonathan Adams,475,Old Dominion,36,93,381,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,69,8,Total,189,163,70,171,93,258,429,56,81,87,1612,31,173,Maurice Aniefiok,475,Total,45,82,220,2015,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,81,72,MAAC,265,178,140,286,38,124,410,81,112,113,1854,137,247,Kevin Bleeker,475,Canisius,38,105,402,2016,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,252,1,MEAC,115,170,126,352,44,122,474,91,126,65,1806,33,157,Jermaine Bolden,475,Morgan State,84,145,148,2009,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,75,13,SWAC,267,190,190,365,0,2,367,95,183,67,1756,175,205,Jamal Breaux,475,Grambling,34,127,442,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,229,3,MVC,303,172,166,334,6,24,358,125,186,63,1834,90,119,Everett Clemons,475,Indiana State,84,109,393,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,56,9,Southland,59,156,73,154,83,241,395,80,107,55,1278,24,101,Gary Dixon,475,Southeastern Louisiana,44,82,83,2011,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,271,18,Horizon,251,158,135,279,23,111,390,136,211,96,2585,45,180,William Graham,475,Wright State,102,179,296,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
