,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,3,0,Patriot,5,3,2,5,1,11,16,3,5,30,78,2,7,Sean Tuohy,10,Loyola (MD),3,4,7,2016,2014
1,1,0,Big West,7,4,4,5,0,0,5,2,2,6,39,2,11,Jonah Underwood,10,UC-Davis,1,0,9,2019,2019
2,5,0,MVC,2,3,2,4,1,6,10,3,4,15,91,1,15,Nick Valla,10,Missouri State,2,6,3,2011,2011
3,0,0,Sun Belt,9,2,0,1,2,3,4,4,8,14,49,0,7,Marcus Vasquez,10,Western Kentucky,0,1,9,2013,2013
4,5,0,CUSA,1,3,1,4,2,2,6,2,2,12,31,0,0,Clyde Wade,10,Memphis,1,3,1,2007,2007
5,2,0,AEC,0,3,1,2,2,4,6,2,2,11,38,0,3,Lewis Wang,10,Maine,0,2,0,2019,2019
6,6,0,AEC,1,3,1,3,2,8,11,2,2,13,35,1,2,C.J. Ward,10,Maine,0,0,2,2017,2015
7,3,0,MVC,1,3,0,4,3,5,9,1,2,11,23,1,4,Trent Wargel,10,Evansville,2,2,2,2008,2007
8,1,0,Big Ten,6,3,2,8,1,7,15,3,3,15,26,3,0,Brock Washington,10,Michigan State,0,4,9,2020,2019
9,0,0,Horizon,6,5,5,10,0,1,11,0,2,13,26,3,3,David Wassler,10,Northern Kentucky,0,4,9,2020,2019
10,17,1,Pac-10,14,3,1,7,2,6,13,2,7,27,160,6,22,Carlton Weatherby,10,Stanford,10,16,20,2007,2007
11,4,2,A-Sun,7,4,4,6,0,4,10,2,2,12,54,1,10,Jesse Wheeler,10,Gardner-Webb,0,6,8,2007,2007
12,1,0,Total,5,3,1,2,2,13,15,2,2,17,32,1,2,Jamal White,10,Total,2,1,6,2013,2009
13,0,3,Summit,1,5,5,8,0,0,8,0,0,4,20,0,2,Terrance Williams,10,Purdue-Fort Wayne,1,1,1,2011,2011
14,1,0,SEC,5,3,3,6,0,2,8,4,8,11,19,1,1,Isiah Wilson,10,Alabama,5,0,6,2014,2013
15,1,0,Big 12,3,3,1,2,2,5,7,2,4,13,25,3,8,Kendall Wright,10,Baylor,2,2,6,2009,2009
16,1,0,Southland,2,1,1,4,0,1,5,8,12,8,30,2,2,Atakan Yurttas,10,McNeese State,1,1,4,2010,2010
17,1,1,CUSA,7,4,4,6,0,0,6,1,2,5,39,4,10,Shakeem Alcindor,9,North Texas,1,2,11,2019,2019
18,2,3,Total,3,2,1,4,1,6,10,4,6,33,74,3,4,Kory Alford,9,Total,0,3,6,2015,2013
19,3,4,Total,22,1,1,12,0,0,12,7,14,32,183,9,22,Landen Amos,9,Xavier,5,6,31,2014,2012
20,2,0,Big Sky,7,3,0,1,3,9,10,0,1,15,53,1,5,Tor Anderson,9,Montana State,2,2,8,2011,2011
21,8,0,Southland,7,4,3,9,1,2,11,0,2,12,59,2,6,Kalif Bakare,9,Texas-San Antonio,1,6,9,2011,2011
22,0,1,NEC,4,2,2,4,0,2,6,5,6,11,31,1,7,Shawn Barlow,9,Monmouth,0,0,5,2009,2007
23,0,10,CUSA,11,3,3,10,0,4,14,3,6,13,87,7,12,Blondy Baruti,9,Tulsa,1,3,18,2011,2011
24,3,0,A-10,4,3,0,0,3,7,7,0,0,36,142,4,5,Matt Beck,9,Fordham,2,3,8,2010,2007
25,1,0,Southland,3,4,4,6,0,0,6,1,2,4,39,8,2,Mike Behrens,9,Texas A&M-Corpus Christi,0,3,11,2008,2008
26,4,0,MEAC,,3,3,3,0,5,8,3,4,7,40,,,Charlie Bell,9,Delaware State,0,,7,2007,2007
27,1,0,Southern,1,3,1,5,2,10,15,1,2,28,36,0,2,Bart Benton,9,College of Charleston,0,5,1,2013,2010
28,2,2,Big Ten,8,3,2,4,1,4,8,2,2,27,61,2,5,Neal Beshears,9,Purdue,0,7,10,2015,2012
29,1,0,WCC,2,3,1,5,2,3,8,1,4,17,32,2,4,Brian Bhaskar,9,Gonzaga,2,1,4,2014,2013
30,0,0,Patriot,0,4,4,8,0,0,8,1,2,15,18,2,2,Jordan Borucki,9,American,1,1,2,2014,2010
31,0,2,Southern,10,3,3,13,0,0,13,3,5,12,82,5,25,Nate Bowser,9,Citadel,3,5,15,2014,2014
32,2,0,NEC,4,3,0,1,3,10,11,0,0,8,38,2,2,Matt Brecht,9,Mount St. Mary's,1,3,6,2020,2019
33,2,0,Southland,3,2,1,1,1,4,5,4,5,18,33,3,3,Marcus Brock,9,Incarnate Word,1,1,6,2015,2014
34,2,0,Big 12,6,3,0,2,3,6,8,0,0,22,32,1,6,Alex Budke,9,Oklahoma State,3,4,7,2015,2013
35,0,0,CUSA,1,3,0,1,3,3,4,0,0,4,5,0,1,Darnell Butler Jr,9,Middle Tennessee,0,0,1,2019,2019
36,2,0,Sun Belt,3,3,0,0,3,7,7,0,0,24,31,0,3,Carter Cagle,9,Georgia State,1,2,3,2017,2015
37,0,2,MEAC,7,4,4,8,0,0,8,1,5,17,59,7,14,Dale Carn,9,South Carolina State,0,5,14,2007,2007
38,0,5,SWAC,11,4,4,10,0,0,10,1,2,10,55,10,14,Elex Carter,9,Southern,0,8,21,2015,2015
39,7,2,MAAC,9,1,1,7,0,1,8,7,8,16,128,1,15,Colton Cashaw,9,Iona,6,3,10,2020,2020
40,1,0,Big East,1,4,3,4,1,5,9,0,0,11,20,0,2,Jason Cherry,9,Rutgers,1,0,1,2007,2007
41,2,0,OVC,8,2,2,4,0,3,7,5,6,9,36,1,3,T.J. Clark,9,Morehead State,2,2,9,2008,2008
42,2,0,Sun Belt,7,3,1,4,2,19,23,1,2,20,88,2,9,Darren Cloud,9,South Alabama,1,1,9,2007,2007
43,0,1,SWAC,4,3,3,7,0,0,7,3,3,7,48,0,17,Timothy Coleman,9,Alabama State,2,2,4,2013,2013
44,3,0,CUSA,2,3,2,4,1,4,8,2,3,9,27,0,6,Denzel Collins,9,Alabama-Birmingham,2,2,2,2015,2015
45,4,0,Big Ten,2,2,0,0,2,7,7,3,5,10,28,0,1,Justin Costello,9,Nebraska,1,2,2,2019,2019
46,3,0,Big Sky,1,2,2,4,0,1,5,5,7,9,15,0,3,Josh Cottle,9,Weber State,1,0,1,2009,2009
47,15,0,CAA,6,3,3,7,0,1,8,3,5,21,135,1,16,Matt Coward,9,Virginia Commonwealth,5,8,7,2007,2007
48,3,0,Total,6,4,3,12,1,4,16,0,0,30,49,2,0,Patrick Crowley,9,Notre Dame,4,2,8,2014,2012
49,1,0,MAAC,1,2,2,2,0,5,7,5,5,12,16,0,4,Kyle Daugherty,9,Marist,0,1,1,2016,2016
50,3,0,Big South,2,3,1,1,2,10,11,1,2,14,31,1,3,Mike Davidson,9,High Point,1,4,3,2007,2007
51,1,1,A-10,6,4,4,8,0,1,9,1,2,23,44,1,2,Jonathan Davis,9,George Washington,1,3,7,2013,2012
52,0,0,Big Sky,0,4,4,6,0,0,6,1,3,12,20,3,1,Steven Davis,9,Montana State,0,0,3,2012,2011
53,1,0,Big Ten,2,3,0,5,3,5,10,0,0,16,27,0,2,Bubba Day,9,Purdue,1,1,2,2011,2010
54,0,0,NEC,3,3,0,2,3,9,11,0,0,19,29,0,0,Odri Dedolli,9,Mount St. Mary's,0,1,3,2020,2018
55,1,0,Summit,4,2,1,2,1,5,7,4,4,6,14,2,3,Alex Desir,9,Oral Roberts,0,2,6,2011,2011
56,4,4,MAAC,11,3,3,15,0,0,15,3,7,18,140,8,18,DayJar Dickson,9,Niagara,4,7,19,2015,2015
