,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,0,0,Horizon,3,0,0,2,0,4,6,0,0,13,16,0,0,Connor Clark,0,Detroit Mercy,1,2,3,2011,2011
1,0,0,MWC,0,0,0,0,0,0,0,0,0,1,1,0,0,Dylan Clark,0,Air Force,0,0,0,2016,2016
2,0,0,Patriot,0,0,0,1,0,0,1,0,0,9,7,1,0,Joe Clark,0,Army,0,1,1,2010,2010
3,0,0,Patriot,0,0,0,0,0,0,0,0,0,1,3,0,0,Wes Clark,0,Navy,0,0,0,2012,2012
4,0,0,MAC,0,0,0,0,0,0,0,0,0,2,3,0,0,Joey Clawson,0,Ball State,0,0,0,2008,2008
5,1,0,MVC,1,0,0,1,0,3,4,0,0,7,20,0,3,Ethan Claycomb,0,Indiana State,1,0,1,2018,2018
6,0,0,Big 12,0,0,0,0,0,0,0,0,0,1,2,0,0,Josh Clemons,0,Baylor,0,1,0,2014,2014
7,0,0,Summit,0,0,0,0,0,0,0,0,0,3,5,0,0,Caleb Cline,0,South Dakota,0,0,0,2019,2019
8,1,0,MVC,2,0,0,0,0,0,0,0,0,10,6,1,0,Matt Coates,0,Illinois State,0,1,3,2011,2010
9,0,0,Big East,0,0,0,0,0,0,0,0,0,2,3,0,0,P.J. Cochrane,0,Connecticut,0,0,0,2012,2012
10,1,0,Big East,1,0,0,0,0,0,0,0,0,2,2,0,2,Spencer Cody,0,Xavier,0,0,1,2020,2020
11,1,0,AAC,0,0,0,1,0,0,1,0,0,5,6,1,0,Joey Coffaro,0,South Florida,0,0,1,2018,2018
12,1,0,SEC,0,0,0,0,0,0,0,0,0,2,4,0,0,Mike Cohen,0,Auburn,0,0,0,2017,2017
13,0,0,Patriot,1,0,0,1,0,0,1,0,0,1,2,0,0,Tyrone Cohen,0,Holy Cross,0,0,1,2017,2017
14,1,0,Big South,0,0,0,0,0,0,0,0,0,3,11,0,0,Devin Cole,0,Radford,0,1,0,2012,2012
15,1,0,A-Sun,0,0,0,0,0,0,0,0,0,4,6,0,0,Conner Coleman,0,Jacksonville,1,0,0,2013,2013
16,1,0,MEAC,0,0,0,0,0,0,0,0,0,2,8,0,0,Darian Coleman,0,South Carolina State,0,0,0,2012,2012
17,0,0,WAC,0,0,0,1,0,0,1,0,0,3,12,0,0,Emery Coleman,0,New Mexico State,0,2,0,2013,2013
18,1,0,MEAC,1,0,0,1,0,2,3,0,0,4,8,1,1,Isaiah Coleman,0,Norfolk State,0,0,2,2009,2009
19,0,0,CUSA,1,0,0,1,0,0,1,0,2,3,2,0,0,Jairus Coleman,0,Tulsa,0,0,1,2012,2012
20,0,0,CUSA,0,0,0,1,0,0,1,0,0,2,5,0,0,Jon Coleman,0,Alabama-Birmingham,0,0,0,2020,2020
21,2,3,Big Ten,2,0,0,0,0,1,1,0,2,6,12,0,2,Kyle Coleman,0,Purdue,0,0,2,2010,2010
22,0,0,Big East,0,0,0,2,0,1,3,0,0,4,7,0,0,Jamar Colon,0,Rutgers,0,0,0,2007,2007
23,0,0,Patriot,0,0,0,0,0,0,0,0,0,2,3,0,2,Ramon Colon,0,Holy Cross,0,0,0,2008,2008
24,0,0,Big South,0,0,0,0,0,0,0,0,0,1,1,0,0,Drew Combs,0,North Carolina-Asheville,0,0,0,2013,2013
25,1,0,GWC,3,0,0,3,0,0,3,0,0,3,19,1,1,Francisco Concepcion,0,Chicago State,1,1,4,2012,2012
26,0,1,Southland,1,0,0,3,0,2,5,0,0,17,34,2,6,John Conine,0,Northwestern State,1,3,3,2010,2008
27,1,0,Sun Belt,0,0,0,1,0,0,1,0,0,6,16,0,1,E.J. Conley,0,South Alabama,1,1,0,2014,2014
28,6,1,Summit,3,0,0,0,0,2,2,0,0,2,23,0,1,James Conley,0,Oral Roberts,1,3,3,2018,2018
29,1,0,AAC,1,0,0,1,0,8,9,0,0,21,33,1,4,Riley Conroy,0,Tulane,1,1,2,2018,2016
30,0,0,SEC,0,0,0,2,0,2,4,0,0,7,12,1,1,Austin Constable,0,South Carolina,1,1,1,2014,2013
31,0,0,MVC,0,0,0,0,0,0,0,0,0,4,3,0,0,Crishawn Cook,0,Southern Illinois,0,1,0,2017,2017
