,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min
0,2,0,OVC,0,2,2,3,0,2,5,1,3,8,13,2,0,Gary Brown,5,Tennessee State,0,2,2,2007,2007
1,2,0,MVC,1,1,0,1,1,4,5,2,2,11,16,0,1,Spencer Brown,5,Missouri State,2,1,1,2020,2020
2,0,0,WAC,8,2,2,9,0,4,13,1,4,12,37,2,4,Dominick Brumfield,5,Hawaii,0,4,10,2011,2011
3,3,0,ACC,10,2,2,8,0,1,9,1,1,16,34,3,1,Mike Buckmire,5,Duke,0,2,13,2020,2018
4,0,0,Pac-12,2,2,1,3,1,1,4,0,0,10,34,1,6,Elliott Bullock,5,Stanford,0,0,3,2015,2015
5,5,0,ACC,0,1,0,0,1,2,2,2,3,8,31,0,0,Gary Cage,5,Georgia Tech,1,2,0,2009,2008
6,4,0,CUSA,2,2,1,5,1,11,16,0,1,11,56,0,1,Jarvis Calhoun,5,Alabama-Birmingham,0,3,2,2015,2015
7,1,0,Southland,7,1,1,2,0,3,5,3,6,20,43,2,4,Cody Cambre,5,Northwestern State,1,0,9,2017,2016
8,2,2,MVC,18,2,2,10,0,0,10,1,6,21,89,3,12,Ronnie Carlwell,5,Illinois State,1,5,21,2007,2007
9,1,0,MVC,2,1,0,1,1,3,4,2,2,8,15,2,0,Ryan Carmichael,5,Missouri State,2,0,4,2013,2013
10,4,0,Horizon,5,1,1,2,0,2,4,3,4,2,22,0,3,Griffyn Carpenter,5,Valparaiso,1,2,5,2012,2012
11,0,0,Big South,1,2,1,5,1,3,8,0,1,4,17,0,0,Brent Carraway,5,Presbyterian,0,1,1,2018,2017
12,3,1,Big South,12,2,2,10,0,0,10,1,4,30,137,5,14,Donovan Carter,5,Winthrop,2,9,17,2014,2011
13,0,1,MEAC,11,2,2,7,0,0,7,1,7,20,74,6,19,Gerald Carter,5,South Carolina State,1,3,17,2007,2007
14,0,0,AEC,1,2,2,3,0,0,3,1,2,4,12,0,0,Haasan Ceesay,5,Stony Brook,1,0,1,2019,2019
15,2,0,Big Ten,8,2,1,8,1,6,14,0,0,44,52,2,4,Dan Chapman,5,Michigan State,0,2,10,2014,2011
16,2,0,CUSA,3,2,1,3,1,2,5,0,1,14,39,0,4,Christian Clark,5,Southern Mississippi,1,2,3,2019,2017
17,2,0,MAAC,3,0,0,5,0,2,7,5,9,14,24,2,0,Courtney Clyburn,5,Marist,0,2,5,2016,2016
18,0,0,SEC,1,2,1,1,1,1,2,0,0,12,26,1,5,Jake Coddington,5,Mississippi,1,0,2,2016,2016
19,8,0,Big Sky,6,2,1,6,1,4,10,0,0,10,82,2,9,Terry Coleman,5,Portland State,1,4,8,2011,2011
20,1,0,Southern,0,2,1,2,1,4,6,0,0,7,21,0,3,Nathan Conley,5,Citadel,1,1,0,2012,2011
21,7,0,MVC,4,2,1,5,1,3,8,0,0,14,51,0,11,Aaron Cooper,5,Missouri State,2,6,4,2011,2011
22,1,0,ACC,3,2,2,6,0,0,6,1,3,33,49,2,6,Stewart Cooper,5,North Carolina,1,4,5,2012,2011
23,2,0,A-10,0,2,1,2,1,1,3,0,0,8,12,0,1,Christopher Coyne,5,Saint Joseph's,1,0,0,2013,2012
24,0,0,Total,3,1,0,1,1,6,7,2,2,11,18,2,3,Brice Crook,5,Nevada,0,0,5,2013,2012
25,6,0,ACC,6,2,1,4,1,4,8,0,4,22,30,0,3,Lyles Davis,5,Clemson,3,2,6,2019,2016
26,0,0,MWC,1,2,1,2,1,2,4,0,0,6,14,0,0,Johnny Del Bene,5,Colorado State,0,0,1,2010,2010
27,0,0,Patriot,1,2,1,1,1,3,4,0,0,10,13,0,0,Anthony DeRiggs,5,Colgate,0,0,1,2015,2014
28,1,0,MWC,7,1,1,3,0,1,4,3,4,11,26,0,2,Jason Deutchman,5,San Diego State,0,0,7,2010,2009
29,0,0,MWC,1,1,1,4,0,0,4,3,4,2,12,2,3,Harminder Dhaliwal,5,San Jose State,0,1,3,2020,2020
30,2,0,Big Sky,3,2,2,2,0,1,3,1,2,3,13,0,2,Boubacar Diakite,5,Weber State,0,0,3,2020,2020
31,2,0,MAC,4,2,1,4,1,2,6,0,3,7,46,0,4,Mory Diane,5,Buffalo,1,4,4,2016,2015
32,0,0,A-10,1,2,1,1,1,1,2,0,0,9,13,1,0,Drew Dibble,5,Davidson,1,0,2,2020,2020
33,1,0,Southern,1,2,1,4,1,5,9,0,0,6,14,0,1,Ryan Dickey,5,Samford,0,0,1,2016,2015
34,1,0,Big 12,3,2,2,6,0,5,11,1,2,15,28,2,4,Kemal Dincer,5,Texas Christian,2,1,5,2014,2013
35,0,0,Big East,3,1,0,1,1,4,5,2,2,15,21,0,3,Sead Dizdarevic,5,Georgetown,0,4,3,2007,2007
36,2,0,ACC,1,2,1,2,1,12,14,0,0,19,21,3,3,Sam Donahue,5,Boston College,0,0,4,2015,2014
37,0,0,AEC,0,2,1,3,1,4,7,0,0,12,26,1,1,Tim Donohoe,5,Stony Brook,1,1,1,2018,2016
38,0,0,CAA,1,2,1,1,1,3,4,0,0,4,10,0,1,Miodrag Dronjak,5,William & Mary,1,3,1,2020,2019
39,5,0,Horizon,5,1,0,1,1,5,6,2,2,14,69,1,7,Bobo Drummond,5,Wright State,3,4,6,2013,2013
40,0,0,Sun Belt,1,1,1,4,0,0,4,3,5,9,17,0,3,Jamie Egenti,5,North Texas,0,1,1,2011,2010
41,2,0,MVC,3,2,2,4,0,1,5,1,1,10,30,1,2,Logan Eitel,5,Indiana State,0,2,4,2011,2011
42,3,0,Ivy,1,2,1,4,1,3,7,0,1,19,69,1,5,Simeon Esprit,5,Pennsylvania,0,4,2,2013,2012
43,0,1,MAC,0,2,1,1,1,4,5,0,0,2,25,0,3,Javin Etzler,5,Miami (OH),0,0,0,2020,2020
44,2,1,Southland,2,2,1,2,1,1,3,0,0,7,13,0,0,Antonio Evans,5,Southeastern Louisiana,0,0,2,2014,2014
45,2,1,Patriot,3,1,1,3,0,1,4,3,6,8,17,0,2,Zedrek Farrell,5,Lehigh,0,1,3,2019,2019
46,1,0,Patriot,0,2,1,2,1,2,4,0,0,6,15,0,0,Jack Fleming,5,Colgate,0,1,0,2014,2014
47,2,0,Southland,4,2,2,5,0,1,6,1,2,4,32,2,1,Denzel Flemings,5,Nicholls State,2,2,6,2015,2015
48,3,0,CUSA,3,2,1,2,1,9,11,0,0,6,64,4,6,Noah Frampton,5,Marshall,6,2,7,2016,2016
49,2,0,WCC,14,1,0,3,1,5,8,2,2,13,51,3,8,Zach Frampton,5,Brigham Young,1,2,17,2017,2017
50,0,0,SWAC,3,2,1,2,1,2,4,0,0,7,46,0,3,Devon Francois,5,Alcorn State,2,5,3,2012,2012
51,5,0,A-10,3,2,1,4,1,6,10,0,0,15,41,0,8,Jaylen Franklin,5,Massachusetts,2,1,3,2019,2018
52,1,0,Horizon,2,2,1,3,1,1,4,0,0,10,23,0,2,Alek Frascone,5,Oakland,0,4,2,2015,2015
53,0,1,MAC,3,1,1,1,0,0,1,3,4,7,13,1,1,Enrique Freeman,5,Akron,0,0,4,2020,2020
54,3,0,Southern,1,1,0,3,1,1,4,2,2,6,15,1,2,Ethan Freeman,5,Western Carolina,0,0,2,2014,2013
55,1,0,NEC,2,2,1,1,1,6,7,0,0,6,32,0,2,Vince Fritz,5,Sacred Heart,0,2,2,2015,2015
56,0,0,SWAC,4,2,2,5,0,0,5,1,1,4,24,1,4,Tomas Funchess,5,Grambling,0,3,5,2008,2008
57,1,0,MAAC,10,2,2,8,0,1,9,1,2,14,60,2,13,Tyler Funk,5,Canisius,1,5,12,2012,2012
58,0,0,Sun Belt,3,1,0,2,1,7,9,2,4,18,56,2,4,Nick Gagel,5,Florida Atlantic,2,4,5,2009,2009
59,0,0,Big 12,1,2,1,2,1,5,7,0,1,2,12,2,0,Brad Garrett,5,Oklahoma State,0,0,3,2008,2008
60,0,0,Big West,2,1,0,2,1,2,4,2,4,6,13,0,2,Brian Garrett,5,Hawaii,0,1,2,2017,2017
61,2,1,Sun Belt,2,2,1,1,1,2,3,0,2,5,8,1,2,David Georgiev,5,Georgia Southern,0,0,3,2017,2017
62,1,0,Big Sky,5,2,2,5,0,0,5,1,2,6,20,3,1,Daniel Giannosa,5,Portland State,0,1,8,2020,2020
63,4,1,Sun Belt,1,2,2,4,0,0,4,1,2,7,37,3,5,Jamichael Goodin,5,Louisiana-Monroe,2,3,4,2011,2011
64,1,0,CAA,1,2,1,2,1,2,4,0,0,4,8,0,1,Brett Goodloe,5,William & Mary,0,1,1,2013,2013
65,1,1,Sun Belt,2,2,2,3,0,0,3,1,2,4,39,2,5,Kendrick Grayson,5,New Orleans,0,1,4,2007,2007
66,4,0,Big Ten,9,2,1,5,1,3,8,0,0,19,50,0,3,Bryan Greenlee,5,Minnesota,2,7,9,2020,2020
67,1,0,Big South,2,2,1,2,1,3,5,0,0,6,11,0,0,Dan Gross,5,Campbell,0,0,2,2020,2019
68,3,0,Pac-12,1,2,1,1,1,1,2,0,0,5,12,0,2,Evan Gross,5,Oregon,1,4,1,2018,2017
69,3,0,Ivy,0,2,1,1,1,3,4,0,0,8,17,0,0,Erik Groszyk,5,Harvard,0,3,0,2009,2007
70,1,0,A-10,1,1,0,2,1,4,6,2,3,23,28,1,0,Joey Gruden,5,Dayton,1,2,2,2018,2015
71,1,0,Southern,2,2,1,1,1,7,8,0,0,6,21,1,2,Davis Guyton,5,Citadel,0,1,3,2020,2020
72,2,0,Pac-12,0,0,0,2,0,3,5,5,10,6,19,0,2,Brandon Haddock,5,Utah,1,1,0,2020,2020
73,0,0,Big 12,1,2,1,2,1,2,4,0,0,6,7,1,0,J.K. Hadlock,5,Oklahoma State,0,0,2,2020,2019
74,1,0,Total,4,2,1,1,1,3,4,0,0,15,18,2,0,Judson Hall,5,College of Charleston,1,0,6,2014,2013
75,2,0,A-10,3,1,0,0,1,3,3,2,2,4,13,0,3,Gregory Hammond,5,Rhode Island,0,1,3,2020,2020
76,0,1,Big East,8,0,0,3,0,3,6,5,10,20,34,2,9,Adam Handler,5,DePaul,0,2,10,2008,2007
77,0,1,Big East,2,2,1,2,1,2,4,0,0,3,26,0,3,Hakeem Harris,5,Seton Hall,2,0,2,2014,2014
