,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,6,73,Total,97,84,84,152,0,0,152,40,63,73,619,48,81,Tom Herzog,208,Total,16,34,145,2011,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,69,Southland,125,81,80,141,1,4,145,45,67,56,960,66,152,LaBarrius Hill,208,McNeese State,16,48,191,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,67,4,MAAC,53,72,50,123,22,69,192,42,51,37,918,4,60,Darius Hines,208,Marist,27,53,57,2020,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,9,MVC,99,78,65,104,13,53,157,39,63,65,900,44,110,Ryan Jehle,208,Missouri State,17,50,143,2010,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,29,Big Ten,82,71,66,127,5,26,153,61,85,31,514,35,59,E.J. Liddell,208,Ohio State,13,29,117,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17,14,Total,71,76,36,70,40,135,205,16,26,88,767,40,151,Matthew Moss,208,Total,18,33,111,2016,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43,17,WAC,80,80,75,145,5,25,170,43,79,29,601,19,66,Jamison Overton,208,Utah Valley,26,48,99,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14,21,Total,137,89,89,154,0,0,154,30,60,85,916,72,131,Richard Peters,208,Total,14,64,209,2017,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15,18,Southland,61,71,70,137,1,5,142,65,102,22,624,55,48,Tadre Sheppard,208,Central Arkansas,22,32,116,2011,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,118,5,Big Ten,84,64,32,79,32,71,150,48,59,38,854,15,77,Jerret Smith,208,Michigan,26,93,99,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8,74,Total,159,80,80,162,0,0,162,48,88,93,1133,69,215,Jordan Tyson,208,Total,18,63,228,2019,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25,7,MEAC,59,70,41,94,29,84,178,39,73,40,702,23,66,Chris Watson,208,Florida A&M,30,51,82,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,2,MVC,42,68,7,21,61,147,168,10,24,35,683,25,72,Danny Adams,207,Bradley,25,15,67,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,20,Sun Belt,114,83,83,153,0,0,153,41,71,63,1176,67,159,Sam Alabakis,207,Louisiana-Monroe,12,65,181,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17,23,AEC,84,88,86,147,2,2,149,29,48,103,571,59,79,Pat Bergmann,207,Vermont,3,46,143,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,24,95,NEC,101,73,73,141,0,0,141,61,101,29,596,53,60,John Bunch,207,Monmouth,5,65,154,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,59,8,Big Ten,46,71,47,89,24,60,149,41,54,20,477,10,38,D.J. Carton,207,Ohio State,13,52,56,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,87,2,MEAC,55,65,48,109,17,54,163,60,98,33,685,30,71,Kobe Gantz,207,Delaware State,27,58,85,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,29,0,A-10,28,65,30,54,35,112,166,42,56,29,713,8,63,Perris Hicks,207,Fordham,36,27,36,2018,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17,4,MWC,74,91,90,154,1,3,157,24,49,32,659,37,68,Norbert Janicek,207,Utah State,9,52,111,2017,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,120,10,MAC,219,70,30,55,40,113,168,27,42,54,1433,69,136,Travis Lewis,207,Eastern Michigan,76,71,288,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,165,5,Southland,91,61,35,112,26,110,222,59,77,119,1442,16,180,Logan McConathy,207,Northwestern State,52,170,107,2011,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15,29,Total,68,88,88,175,0,0,175,31,71,43,520,55,112,Karl Nicholas,207,Total,13,53,123,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,51,13,NEC,100,89,88,197,1,9,206,28,65,101,1095,52,130,Tony Peters,207,Saint Francis (PA),13,87,152,2013,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,1,Big East,36,60,14,35,46,133,168,41,48,79,558,17,77,Will Scott,207,Louisville,13,15,53,2009,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,58,9,OVC,65,77,63,120,14,46,166,39,59,29,771,35,57,Miles Thomas,207,Tennessee-Martin,30,47,100,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,150,8,Total,107,79,60,132,19,54,186,30,48,65,1240,17,120,Tione Womack,207,Houston,47,75,124,2014,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,37,11,SEC,80,77,60,115,17,55,170,36,53,64,861,41,91,Eli Wright,207,Mississippi State,20,37,121,2018,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,47,1,OVC,58,67,11,30,56,146,176,16,20,63,768,4,72,Jeff Allgood,206,Eastern Kentucky,20,35,62,2012,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,19,5,SWAC,58,79,61,138,18,52,190,30,55,38,630,34,95,Deshon Bayless,206,Arkansas-Pine Bluff,32,61,92,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,49,1,MEAC,64,69,23,62,46,162,224,22,36,57,815,21,54,Thomas Bookman,206,South Carolina State,30,65,85,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,39,3,MEAC,32,72,34,86,38,115,201,24,43,31,716,17,45,Fred Bouie,206,Delaware State,19,39,49,2009,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21,14,NEC,98,75,64,130,11,44,174,45,69,42,622,48,87,Brandon Carroll,206,Bryant,26,36,146,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,23,3,Big West,58,78,38,76,40,118,194,10,13,28,598,21,43,Lance Coleman II,206,Cal State Northridge,7,26,79,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
