,ast,blk,conf_abbr,drb,fg,fg2,fg2a,fg3,fg3a,fga,ft,fta,g,mp,orb,pf,player,pts,school_name,stl,tov,trb,year_max,year_min,NBA_age,NBA_ast_per_g,NBA_blk_per_g,NBA_drb_per_g,NBA_efg_pct,NBA_fg2_pct,NBA_fg2_per_g,NBA_fg2a_per_g,NBA_fg3_pct,NBA_fg3_per_g,NBA_fg3a_per_g,NBA_fg_pct,NBA_fg_per_g,NBA_fga_per_g,NBA_first_team,NBA_ft_pct,NBA_ft_per_g,NBA_fta_per_g,NBA_g,NBA_gs,NBA_lg_id,NBA_mp_per_g,NBA_orb_per_g,NBA_pf_per_g,NBA_pos,NBA_pts_per_g,NBA_stl_per_g,NBA_team_id,NBA_tov_per_g,NBA_trb_per_g
0,60,0,Big South,38,52,39,80,13,38,118,53,76,55,636,22,55,Johnny Stephene,170,Liberty,19,64,60,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,10,A-10,74,65,64,106,1,3,109,39,59,75,705,52,134,Andrew Taylor,170,Xavier,20,27,126,2011,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,18,MAAC,144,63,60,118,3,7,125,41,86,65,829,91,138,Maurice Taylor,170,Niagara,20,67,235,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49,16,ACC,96,63,51,129,12,42,171,32,70,122,815,58,73,Justin Watts,170,North Carolina,19,50,154,2012,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25,7,ACC,142,69,64,108,5,18,126,26,44,76,835,67,71,Christian Beyer,169,Virginia Tech,18,38,209,2015,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,42,12,OVC,116,60,52,95,8,36,131,41,63,33,960,59,56,Michael Brock,169,Eastern Kentucky,20,52,175,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,59,6,WAC,64,55,41,86,14,58,144,45,68,50,850,24,81,Delundre Dixon,169,Chicago State,24,53,88,2017,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,17,NEC,59,69,69,140,0,0,140,31,65,44,473,42,90,Eyimofe Edukugho,169,Sacred Heart,10,46,101,2016,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13,2,CUSA,46,56,25,52,31,97,149,26,32,19,435,15,41,Brian Epps,169,Southern Methodist,9,32,61,2007,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,25,CUSA,100,74,74,132,0,1,133,21,40,31,492,40,50,Jacob Germany,169,Texas-San Antonio,15,23,140,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,84,1,CUSA,36,61,43,107,18,73,180,29,41,35,653,9,50,Chris Hagan,169,Rice,44,69,45,2008,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,3,Ivy,80,51,11,26,40,140,166,27,34,81,668,24,76,Dau Jok,169,Pennsylvania,5,20,104,2014,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,39,0,Patriot,22,65,36,80,29,69,149,10,14,12,316,3,25,Drew Lowder,169,Holy Cross,10,35,25,2020,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,97,2,MWC,50,60,37,72,23,47,119,26,41,59,772,11,52,Lamont Morgan,169,Brigham Young,22,63,61,2010,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
